"Building IRN","Building Name","District IRN","District Name","County","Region","Street address","City and Zip code","Phone #","Principal","Grade Span","Open/Closed Status (as of 9/1/2014)","School Type","Number of Standards Met","Number of Standards Possible","Percent of Standards Met","Letter Grade of Standards Met","Performance Index Score 2013-14","Performance Index Percent 2013-14","Letter Grade of Performance Index","Letter Grade of Overall Value-Added","Letter Grade of Gifted Value-Added","Letter Grade of Disabled Value-Added","Letter Grade of Lowest 20% Value-Added","Letter Grade of AMO","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","Letter Grade of 4-Year Graduate Rate 2013","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Letter Grade of 5-Year Graduate Rate 2012","Enrollment","Read 3rd Grade 2013-14 % at or above Proficient","Read 3rd Grade 2012-13 % at or above Proficient","Read 3rd Grade 2011-12 % at or above Proficient","Math 3rd Grade 2013-14 % at or above Proficient","Math 3rd Grade 2012-13 % at or above Proficient","Math 3rd Grade 2011-12 % at or above Proficient","Read 4th Grade 2013-14 % at or above Proficient","Read 4th Grade 2012-13 % at or above Proficient","Read 4th Grade 2011-12 % at or above Proficient","Math 4th Grade 2013-14 % at or above Proficient","Math 4th Grade 2012-13 % at or above Proficient","Math 4th Grade 2011-12 % at or above Proficient","Read 5th Grade 2013-14 % at or above Proficient","Read 5th Grade 2012-13 % at or above Proficient","Read 5th Grade 2011-12 % at or above Proficient","Math 5th Grade 2013-14 % at or above Proficient","Math 5th Grade 2012-13 % at or above Proficient","Math 5th Grade 2011-12 % at or above Proficient","Science 5th Grade 2013-14 % at or above Proficient","Science 5th Grade 2012-13 % at or above Proficient","Science 5th Grade 2011-12 % at or above Proficient","Read 6th Grade 2013-14 % at or above Proficient","Read 6th Grade 2012-13 % at or above Proficient","Read 6th Grade 2011-12 % at or above Proficient","Math 6th Grade 2013-14 % at or above Proficient","Math 6th Grade 2012-13 % at or above Proficient","Math 6th Grade 2011-12 % at or above Proficient","Read 7th Grade 2013-14 % at or above Proficient","Read 7th Grade 2012-13 % at or above Proficient","Read 7th Grade 2011-12 % at or above Proficient","Math 7th Grade 2013-14 % at or above Proficient","Math 7th Grade 2012-13 % at or above Proficient","Math 7th Grade 2011-12 % at or above Proficient","Read 8th Grade 2013-14 % at or above Proficient","Read 8th Grade 2012-13 % at or above Proficient","Read 8th Grade 2011-12 % at or above Proficient","Math 8th Grade 2013-14 % at or above Proficient","Math 8th Grade 2012-13 % at or above Proficient","Math 8th Grade 2011-12 % at or above Proficient","Science 8th Grade 2013-14 % at or above Proficient","Science 8th Grade 2012-13 % at or above Proficient","Science 8th Grade 2011-12 % at or above Proficient","Read OGT 2013-14 % at or above Proficient","Read OGT 2012-13 % at or above Proficient","Read OGT 2011-12 % at or above Proficient","Math OGT 2013-14 % at or above Proficient","Math OGT 2012-13 % at or above Proficient","Math OGT 2011-12 % at or above Proficient","Write OGT 2013-14 % at or above Proficient","Write OGT 2012-13 % at or above Proficient","Write OGT 2011-12 % at or above Proficient","Social Studies OGT 2013-14 % at or above Proficient","Social Studies OGT 2012-13 % at or above Proficient","Social Studies OGT 2011-12 % at or above Proficient","Science OGT 2013-14 % at or above Proficient","Science OGT 2012-13 % at or above Proficient","Science OGT 2011-12 % at or above Proficient","Read 11th Grade 2013-14 % at or above Proficient","Read 11th Grade 2012-13 % at or above Proficient","Read 11th Grade 2011-12 % at or above Proficient","Math 11th Grade 2013-14 % at or above Proficient","Math 11th Grade 2012-13 % at or above Proficient","Math 11th Grade 2011-12 % at or above Proficient","Write 11th Grade 2013-14 % at or above Proficient","Write 11th Grade 2012-13 % at or above Proficient","Write 11th Grade 2011-12 % at or above Proficient","Social Studies 11th Grade 2013-14 % at or above Proficient","Social Studies 11th Grade 2012-13 % at or above Proficient","Social Studies 11th Grade 2011-12 % at or above Proficient","Science 11th Grade 2013-14 % at or above Proficient","Science 11th Grade 2012-13 % at or above Proficient","Science 11th Grade 2011-12 % at or above Proficient","Attendance 2013-14","Attendance 2012-13","Attendance 2011-12","Performance Index Score 2012-13","Performance Index Score 2011-12","Four-Year Graduation Rate Numerator 2013","Four-Year Graduation Rate Denominator 2013","Five-Year Graduation Numerator 2012","Five-Year Graduation Denominator 2012","% Graduates Participating in ACT 2012-13","Number of ACT Remediation Free in 2012-13","% of ACT Remediation Free in 2012-13","% Graduates Participating in SAT 2012-13","Number of SAT Remediation Free in 2012-13","% of SAT Remediation Free in 2012-13","% Graduates with Honors Diploma in 2012-13","Number of Graduates Participating in an AP Test 2012-13","% AP Test Takers with an AP score of 3 or above 2012-13","% Students with an Industry Credential 2012-13","% Students with At Least 3 Dual Enrollment Credits 2012-13"
"000303","Summit Academy Secondary - Youngstown","000303","Summit Academy Secondary - Youngstown","Mahoning","Region 5","1400 Oak Hill Ave","Youngstown, OH   44507-1018","(330) 747-0950","","8-12,UNG","Open","Community School Startup","0.0","13.0","0.0","F","57.360","47.8","F","F","NR","F","D","F","42.6","F","60.0","F","213","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","45.7","40.7","13.0","28.6","7.4","13.0","23.5","14.8","8.7","44.4","48.8","50.0","12.8","25.6","25.0","24.3","28.6","40.0","25.6","30.2","20.0","18.4","23.3","10.0","55.9","61.5","58.8","29.4","37.0","60.0","50.0","44.4","53.3","38.2","48.1","45.0","38.2","29.6","40.9","88.5","89.7","87.2","59.424","55.74","20","47","18","30","--","--","--","--","--","--","0.0","0","0.0","0.0","0.0"
"000304","Summit Academy Community School-Toledo","000304","Summit Academy Community School-Toledo","Lucas","Region 1","1853 South Ave","Toledo, OH   43609-2086","(419) 385-5730","","K,1-10,UNG","Open","Community School Startup","0.0","9.0","0.0","F","48.642","40.5","F","D","NR","A","A","F","--","NR","--","NR","111","25.0","--","30.0","43.8","--","30.0","27.3","52.9","30.0","27.3","29.4","10.0","12.5","26.7","--","12.5","26.7","--","18.8","20.0","--","40.0","69.2","--","20.0","23.1","--","--","36.0","--","--","8.0","--","--","41.7","--","--","16.7","--","--","41.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.1","91.7","92.0","62.414","51.391000000000005","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000305","Summit Academy Community School-Warren","000305","Summit Academy Community School-Warren","Trumbull","Region 5","2106 Arbor Ave SE","Warren, OH   44484-5225","(330) 369-4233","","K,1-10,UNG","Open","Community School Startup","0.0","9.0","0.0","F","65.955","55.0","D","C","NR","A","A","F","--","NR","--","NR","102","27.8","42.9","18.8","44.4","57.1","18.8","41.2","42.9","35.3","35.3","21.4","29.4","18.2","31.6","19.0","18.2","26.3","23.8","27.3","31.6","14.3","71.4","63.6","41.2","66.7","59.1","35.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.0","94.2","93.5","68.025","57.975","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000306","Summit Academy Community School - Cincinnati","000306","Summit Academy Community School - Cincinnati","Hamilton","Region 13","1660 Sternblock Ln","Cincinnati, OH   45237-3805","(513) 321-0561","","K,1-8,UNG","Open","Community School Startup","0.0","12.0","0.0","F","61.720","51.4","D","C","NR","A","A","F","--","NR","--","NR","127","36.4","--","60.0","18.2","--","40.0","--","83.3","27.8","--","66.7","16.7","36.4","23.8","25.9","36.4","19.0","22.2","36.4","23.8","37.0","50.0","56.3","66.7","25.0","34.4","50.0","64.3","62.5","44.4","39.3","50.0","22.2","57.9","66.7","--","36.8","33.3","--","42.1","38.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","90.5","92.3","93.8","69.077","62.609","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000311","Bridges Community Academy","000311","Bridges Community Academy","Seneca","Region 7","190 St Francis Ave","Tiffin, OH   44883-3475","(419) 455-9295","","K-12","Open","Community School Conversion","9.0","16.0","56.3","D","82.500","68.8","D","B","NR","NR","B","F","84.2","C","--","NR","127","--","--","--","--","--","--","--","76.9","50.0","--","53.8","20.0","40.0","--","--","30.0","--","--","50.0","--","--","--","--","63.6","--","--","40.0","90.0","--","--","46.2","--","--","70.0","--","--","--","--","--","--","--","--","90.0","88.2","78.9","90.0","76.5","68.4","90.0","82.4","78.9","80.0","82.4","68.4","80.0","76.5","68.4","93.8","92.9","100.0","87.5","85.7","81.3","100.0","92.9","100.0","81.3","85.7","82.4","81.3","85.7","76.5","94.4","93.9","92.2","87.70400000000001","85.66","16","19","--","--","26.3","2","10.5","26.3","2","10.5","10.5","0","0.0","0.0","0.0"
"000316","Constellation Schools: Westpark Community Middle","000316","Constellation Schools: Westpark Community Middle","Cuyahoga","Region 3","5730 Broadview Rd","Parma, OH   44134-1602","(216) 251-7200","Mindy D. Kidd","5-9","Open","Community School Startup","2.0","10.0","20.0","F","87.095","72.6","C","C","NR","C","C","F","--","NR","--","NR","213","--","--","--","--","--","--","--","--","--","--","--","--","51.9","57.8","64.3","46.2","60.9","55.4","36.5","51.6","48.2","75.0","79.1","86.0","63.3","53.5","78.9","75.0","79.3","89.5","62.5","81.0","92.1","83.6","83.3","88.6","90.9","72.2","85.7","61.8","38.9","82.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.2","94.5","95.7","87.55","91.685","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000318","Menlo Park Academy","000318","Menlo Park Academy","Cuyahoga","Region 3","14440 Triskett Rd","Cleveland, OH   44111-2263","(440) 925-6365","Paige M. Baublitz-Watkins","K-12","Open","Community School Startup","14.0","14.0","100.0","A","113.707","94.8","A","D","F","NR","NR","A","--","NR","--","NR","339","100.0","100.0","100.0","100.0","100.0","94.9","100.0","100.0","95.6","100.0","100.0","100.0","100.0","98.0","95.0","92.9","100.0","100.0","97.7","98.0","100.0","97.7","100.0","100.0","100.0","96.2","100.0","100.0","100.0","100.0","100.0","96.0","100.0","100.0","100.0","--","100.0","100.0","--","100.0","100.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","96.2","96.6","97.1","112.23","111.777","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000319","Constellation Schools: Madison Community Elementary","000319","Constellation Schools: Madison Community Elementary","Cuyahoga","Region 3","2015 W 95th St","Cleveland, OH   44102-3727","(216) 651-5212","Melissa A. Rice","K-12","Open","Community School Startup","5.0","14.0","35.7","F","83.848","69.9","D","C","NR","B","B","F","--","NR","--","NR","299","74.3","73.0","63.3","80.0","59.5","80.0","57.1","85.7","70.8","48.6","60.7","54.2","33.3","60.9","52.6","40.7","56.5","21.1","33.3","34.8","42.1","90.5","71.8","81.1","81.0","66.7","70.3","75.7","71.9","70.0","37.8","56.3","25.0","85.7","87.5","78.6","85.7","56.3","64.3","53.6","37.5","57.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","93.3","92.2","93.2","85.06400000000001","81.72","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000320","Constellation Schools: Lorain Community Middle","000320","Constellation Schools: Lorain Community Middle","Lorain","Region 2","5730 Broadview Rd","Parma, OH   44134-1602","(440) 242-2023","Melisa R. Shady","5-9","Open","Community School Startup","4.0","10.0","40.0","F","92.650","77.2","C","A","NR","C","B","F","--","NR","--","NR","115","--","--","--","--","--","--","--","--","--","--","--","--","78.1","75.6","60.0","53.1","58.5","34.3","71.9","73.2","62.9","93.9","83.3","81.0","81.8","66.7","47.6","84.4","75.0","70.8","65.6","70.0","58.3","89.5","86.4","76.9","68.4","81.8","69.2","52.6","54.5","57.7","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","94.4","94.8","95.0","91.799","83.077","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000321","Constellation Schools: Old Brooklyn Community Middle","000321","Constellation Schools: Old Brooklyn Community Middle","Cuyahoga","Region 3","5730 Broadview Rd","Parma, OH   44134-1602","(216) 351-0280","Karil M. Stohlman","5-9","Open","Community School Startup","7.0","10.0","70.0","C","99.878","83.2","B","D","NR","C","C","A","--","NR","--","NR","189","--","--","--","--","--","--","--","--","--","--","--","--","90.0","74.2","87.0","88.3","58.1","73.9","78.3","58.1","76.1","90.0","90.7","95.3","83.3","74.4","95.3","92.3","95.1","97.7","71.8","87.8","90.9","97.4","100.0","100.0","94.7","91.1","92.1","76.3","86.7","82.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95.7","95.3","95.5","96.25800000000001","101.33200000000001","--","--","--","--","NC","NC","NC","NC","NC","NC","--","NC","--","0.0","0.0"
"000338","Horizon Science Academy Toledo","000338","Horizon Science Academy Toledo","Lucas","Region 1","2600 W Sylvania Ave","Toledo, OH   43613-4300","(419) 474-3350","","K-12","Open","Community School Startup","9.0","24.0","37.5","F","85.553","71.3","C","F","NR","C","D","F","55.0","F","70.8","F","500","87.5","64.0","--","100.0","54.2","--","62.5","75.0","--","40.6","70.0","--","40.7","47.6","--","29.6","52.4","--","33.3","47.6","--","53.3","60.5","--","46.7","42.1","--","66.7","61.3","--","33.3","51.6","--","71.4","66.7","--","45.7","55.6","--","40.0","30.6","--","88.1","76.6","90.0","73.1","61.7","73.2","83.6","85.1","97.5","89.6","68.1","80.0","56.7","55.3","48.8","94.7","97.0","96.8","86.8","81.8","82.3","97.4","90.6","100.0","92.3","81.8","88.7","78.9","76.5","75.8","93.1","91.9","93.8","82.13300000000001","92.327","33","60","46","65","70.0","1","1.7","--","--","--","0.0","0","0.0","0.0","0.0"
