"Building IRN ","Building Name","District IRN","District Name","County","Region","School Type","Teachers Attendance Rate 2013-14","Average Years of Teacher Experience","Average Number of Full Time Teachers","Average Teacher Salary","Average Number of Full Time Teachers Who Have At Least a Bachelors","% of Teachers Who Have At Least a Bachelors","Average Number of Full Time Teachers Who Have At Least a Masters","% of Teachers Who Have At Least a Masters","% of Core Courses Taught by a Properly Certified Teacher","# of Core Courses Taught by a Properly Certified Teacher","Total # of Core Courses","% of Core Courses Taught by a Highly Qualified Teacher","# of Core Courses Taught by a Highly Qualified Teacher","% of Core Courses Taught by Teacher with a Temporary Certificate","# of Core Courses Taught by Teacher with a Temporary Certificate","Open/Closed Status (as of 9/1/2014)","Feeder IRN"
"000305","Summit Academy Community School-Warren","000305","Summit Academy Community School-Warren","Trumbull","Region 5","Community School Startup","100","5","25","35089","25","100.0","6","24.0","72.9","35.0","48.0","100.0","48.0","0","0.0","Open",""
"000306","Summit Academy Community School - Cincinnati","000306","Summit Academy Community School - Cincinnati","Hamilton","Region 13","Community School Startup","98.9","2","36","35094","36","100.0","11","30.6","31.5","23.0","73.0","100.0","73.0","0","0.0","Open",""
"000311","Bridges Community Academy","000311","Bridges Community Academy","Seneca","Region 7","Community School Conversion","95.1","0","13","33401","13","100.0","7","56.0","100","48.0","48.0","100.0","48.0","0","0.0","Open",""
"000315","Alexander Jr. / Sr. High School","045906","Alexander Local","Athens","Region 16","High School","94.4","16","51","53193","51","100.0","35","68.0","100","273.0","273.0","100.0","273.0","0","0.0","Open","******"
"000316","Constellation Schools: Westpark Community Middle","000316","Constellation Schools: Westpark Community Middle","Cuyahoga","Region 3","Community School Startup","98.9","1","15","32292","15","100.0","6","41.4","100","70.0","70.0","100.0","70.0","0","0.0","Open",""
"000318","Menlo Park Academy","000318","Menlo Park Academy","Cuyahoga","Region 3","Community School Startup","99","4","27","32224","27","100.0","14","50.4","98.8","85.0","86.0","100.0","86.0","0","0.0","Open",""
"000319","Constellation Schools: Madison Community Elementary","000319","Constellation Schools: Madison Community Elementary","Cuyahoga","Region 3","Community School Startup","97.6","0","25","30643","25","100.0","11","46.0","100","106.0","106.0","100.0","106.0","0","0.0","Open",""
"000320","Constellation Schools: Lorain Community Middle","000320","Constellation Schools: Lorain Community Middle","Lorain","Region 2","Community School Startup","98.7","0","11","33173","11","100.0","1","9.3","100","37.0","37.0","100.0","37.0","0","0.0","Open",""
"000321","Constellation Schools: Old Brooklyn Community Middle","000321","Constellation Schools: Old Brooklyn Community Middle","Cuyahoga","Region 3","Community School Startup","97.1","0","15","32877","15","100.0","2","13.0","100","63.0","63.0","100.0","63.0","0","0.0","Open",""
"000338","Horizon Science Academy Toledo","000338","Horizon Science Academy Toledo","Lucas","Region 1","Community School Startup","97.7","3","46","31935","46","100.0","11","23.9","100","86.0","86.0","100.0","86.0","1.2","1.0","Open",""
"000342","Youngstown Virtual Academy","045161","Youngstown City Schools","Mahoning","Region 5","High School","--","--","--","--","--","--","--","--","--","","","--","","--","","Open","******"
"000345","Elmwood Elementary School","050682","Elmwood Local","Wood","Region 1","Elementary School","96.3","12","30","50307","30","100.0","20","66.8","100","96.0","96.0","100.0","96.0","0","0.0","Open","007963"
"000348","Palm Elementary School","044263","Lorain City","Lorain","Region 2","Elementary School","94.6","16","16","66474","16","100.0","15","93.2","100","69.0","69.0","100.0","69.0","0","0.0","Open","000841"
"000349","Upper Scioto Valley Middle School","047522","Upper Scioto Valley Local","Hardin","Region 6","Middle School","96.2","10","7","40772","6","85.7","2","28.6","100","26.0","26.0","100.0","26.0","0","0.0","Open","037960"
"000350","Granger Elementary School","048496","Highland Local","Medina","Region 8","Elementary School","95.4","14","26","66219","26","100.0","16","60.8","100","117.0","117.0","100.0","117.0","0","0.0","Open","024497"
"000351","Ulysses S. Grant Middle School","044339","Marion City","Marion","Region 7","Middle School","95.2","13","78","48814","78","100.0","57","72.4","100","209.0","209.0","100.0","209.0","0","0.0","Open","015214"
"000352","William McKinley Elementary School","044339","Marion City","Marion","Region 7","Elementary School","97.2","14","38","47370","38","100.0","31","82.4","100","143.0","143.0","100.0","143.0","0","0.0","Open","000351"
"000356","Genoa Elementary","048942","Genoa Area Local","Ottawa","Region 1","Elementary School","94.2","14","37","48691","37","100.0","18","48.6","100","146.0","146.0","100.0","146.0","0","0.0","Open","013250"
"000360","Miamisburg Secondary Academy","000360","Miamisburg Secondary Academy","Montgomery","Region 10","Dropout Recovery","97.4","56","4","12169","4","100.0","2","53.0","100.0","43.0","43.0","100.0","43.0","0.0","0.0","Open",""
"000362","Bridges Learning Center","043489","Akron City","Summit","Region 8","Elementary School","97","6","18","55544","15","83.3","8","44.4","44.3","47.0","106.0","85.8","91.0","0","0.0","Open","009498"
"000363","Akron Alternative Academy","043489","Akron City","Summit","Region 8","High School","98.1","3","9","48516","9","100.0","3","33.3","98.4","61.0","62.0","98.4","61.0","0","0.0","Open","******"
"000364","Allen East High School","045757","Allen East Local","Allen","Region 6","High School","95.8","15","28","46701","28","100.0","21","75.0","99.3","144.0","145.0","100.0","145.0","0","0.0","Open","******"
"000382","Crestwood Primary School","049189","Crestwood Local","Portage","Region 8","Elementary School","96.4","14","26","55478","26","100.0","16","62.7","100","124.0","124.0","100.0","124.0","0","0.0","Open","000383"
"000383","Crestwood Intermediate School","049189","Crestwood Local","Portage","Region 8","Elementary School","96.9","16","28","56503","28","100.0","19","67.2","100","108.0","108.0","100.0","108.0","0","0.0","Open","040485"
"000384","Chieftain Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Elementary School","93.5","15","25","49529","25","100.0","14","55.1","100","118.0","118.0","99.2","117.0","0","0.0","Open","112573"
"000385","Hocking Hills Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Elementary School","93.5","16","12","52379","12","100.0","7","54.1","98.3","58.0","59.0","98.3","58.0","0","0.0","Open","112573"
"000387","Central Elementary School","044248","Logan-Hocking Local","Hocking","Region 16","Elementary School","95.5","15","25","53543","25","100.0","20","79.6","100","132.0","132.0","100.0","132.0","0","0.0","Open","112573"
"000388","Gateway Elementary School","043810","Conneaut Area City","Ashtabula","Region 5","Elementary School","95.5","11","25","51480","25","100.0","21","83.7","100","114.0","114.0","100.0","114.0","0","0.0","Open","032813"
"000389","Lakeshore Primary Elementary School","043810","Conneaut Area City","Ashtabula","Region 5","Elementary School","94","16","31","55243","31","100.0","27","87.1","100","114.0","114.0","100.0","114.0","0","0.0","Open","000388"
"000392","Mansfield Enhancement Academy","000392","Mansfield Enhancement Academy","Richland","Region 7","Dropout Recovery","96.1","25","3","13621","3","100.0","1","16.3","100.0","59.0","59.0","57.6","34.0","0.0","0.0","Open",""
"000396","Mansfield Elective Academy","044297","Mansfield City","Richland","Region 7","Community School Conversion","92.5","21","2","48459","2","100.0","2","91.3","100","21.0","21.0","90.5","19.0","0","0.0","Open",""
"000398","Allen Elementary School","043745","Chillicothe City","Ross","Region 15","Elementary School","94.5","11","19","54054","19","100.0","16","83.5","100","107.0","107.0","100.0","107.0","0","0.0","Open","034736"
"000400","Mapleton Elementary School","045831","Mapleton Local","Ashland","Region 7","Elementary School","96.5","10","23","45977","23","100.0","14","61.0","100","142.0","142.0","100.0","142.0","0","0.0","Open","012410"
"000402","Findlay Digital Academy","000402","Findlay Digital Academy","Hancock","Region 1","Dropout Recovery","0.0","83","2","50361","2","100.0","2","96.8","100.0","46.0","46.0","97.8","45.0","0.0","0.0","Open",""
"000406","Allen Elementary School","043711","Canton City","Stark","Region 9","Elementary School","94.9","14","23","58875","21","91.3","19","82.6","100","110.0","110.0","100.0","110.0","0","0.0","Open","002097"
"000417","Buckeye On-Line School for Success","000417","Buckeye On-Line School for Success","Columbiana","Region 9","Community School Startup","98.7","9","69","31514","69","100.0","26","37.7","99.8","462.0","463.0","100.0","463.0","0","0.0","Open",""
"000420","Columbus Bilingual Academy","000420","Columbus Bilingual Academy","Franklin","Region 11","Community School Startup","100","0","7","35014","7","100.0","0","0.0","85.2","23.0","27.0","100.0","27.0","0","0.0","Open",""
"000426","Lancaster Fairfield Community School","000426","Lancaster Fairfield Community School","Fairfield","Region 11","Dropout Recovery","92.9","8","9","26112","9","100.0","2","17.6","100.0","43.0","43.0","100.0","43.0","0.0","0.0","Closed",""
"000429","Jackson Westview Elementary School","044156","Jackson City","Jackson","Region 16","Elementary School","95.5","17","24","50847","24","100.0","17","71.8","98.5","128.0","130.0","100.0","130.0","0","0.0","Open","020453"
"000435","Eastgate Elementary School","043802","Columbus City School District","Franklin","Region 11","Elementary School","89.7","10","17","61371","17","100.0","8","47.1","94.8","109.0","115.0","100.0","115.0","0","0.0","Open","005827"
"000445","General Chappie James Leadership Academy","000445","General Chappie James Leadership Academy","Montgomery","Region 10","Dropout Recovery","100.0","0","11","29486","11","100.0","3","26.7","80.8","21.0","26.0","19.2","5.0","80.8","21.0","Open",""
"000448","Allen East Elementary School","045757","Allen East Local","Allen","Region 6","Elementary School","95.9","13","30","47329","30","100.0","21","70.0","100","169.0","169.0","100.0","169.0","0","0.0","Open","000364"
"000450","Manchester High School","000442","Manchester Local","Adams","Region 14","High School","97","14","24","52738","24","100.0","11","44.0","100","111.0","111.0","100.0","111.0","0","0.0","Open","******"
"000451","Manchester Elementary School","000442","Manchester Local","Adams","Region 14","Elementary School","95.1","13","34","54600","34","100.0","24","70.0","100","114.0","114.0","100.0","114.0","0","0.0","Open","000450"
"000455","West Elementary","050393","Vinton County Local","Vinton","Region 16","Elementary School","95.9","16","22","54329","22","100.0","17","77.3","100","91.0","91.0","100.0","91.0","0","0.0","Open","111526"
"000463","Alliance High School","043497","Alliance City","Stark","Region 9","High School","96.7","10","69","54068","65","94.2","38","54.3","98.5","255.0","259.0","96.5","250.0","0","0.0","Open","******"
"000470","Independence Elementary School","044222","Lima City","Allen","Region 6","Elementary School","93.8","21","21","55062","21","100.0","17","81.0","100","92.0","92.0","100.0","92.0","0","0.0","Open","005660"
"000471","Sharpsburg Primary","044578","Norwood City","Hamilton","Region 13","Elementary School","96.2","10","12","53667","12","100.0","9","75.0","100","74.0","74.0","100.0","74.0","0","0.0","Open","034173"
"000472","Liberty Arts Magnet K-8","044222","Lima City","Allen","Region 6","Elementary School","96.3","17","26","50139","26","100.0","16","61.6","100","130.0","130.0","100.0","130.0","0","0.0","Open","008298"
"000475","Bluestone Elementary School","043950","Euclid City","Cuyahoga","Region 3","Elementary School","94.3","9","35","56587","35","100.0","22","62.9","100","145.0","145.0","100.0","145.0","0","0.0","Open","011965"
"000481","P.A.C.E. High School","000481","P.A.C.E. High School","Hamilton","Region 13","Dropout Recovery","0.0","5","10","32133","10","100.0","7","70.0","94.3","33.0","35.0","100.0","35.0","0.0","0.0","Closed",""
"000489","Almira","043786","Cleveland Municipal","Cuyahoga","Region 3","Elementary School","87.2","18","19","68399","19","100.0","17","89.5","96","121.0","126.0","99.2","125.0","0","0.0","Open","004895"
"000491","Bowman Primary School","044214","Lebanon City","Warren","Region 13","Elementary School","94.9","10","42","54370","42","100.0","27","65.0","100","237.0","237.0","100.0","237.0","0","0.0","Open","095679"
"000493","Lebanon Junior High","044214","Lebanon City","Warren","Region 13","Junior High School","96.3","12","46","56795","46","100.0","33","71.7","100","261.0","261.0","100.0","261.0","0","0.0","Open","020032"
"000497","Alpine Elementary School","043802","Columbus City School District","Franklin","Region 11","Elementary School","94.8","14","26","67021","26","100.0","21","80.8","97.4","152.0","156.0","100.0","156.0","0","0.0","Open","042184"
"000501","Ripley Union Lewis Huntington Middle School","046078","Ripley-Union-Lewis-Huntington Local","Brown","Region 14","Middle School","95.5","8","23","42216","23","100.0","14","60.9","100","62.0","62.0","100.0","62.0","0","0.0","Open","031815"
"000505","Alton Hall Elementary School","044800","South-Western City","Franklin","Region 11","Elementary School","93.2","13","25","63535","25","100.0","19","76.8","100","127.0","127.0","100.0","127.0","0","0.0","Open","138735"
"000509","Whitehall Preparatory and Fitness Academy","000509","Whitehall Preparatory and Fitness Academy","Franklin","Region 11","Community School Startup","96.5","0","35","33786","35","100.0","11","30.1","100","64.0","64.0","100.0","64.0","0","0.0","Open",""
"000510","Springfield Preparatory and Fitness Academy","000510","Springfield Preparatory and Fitness Academy","Clark","Region 10","Community School Startup","97.3","2","20","35605","20","100.0","4","20.2","100","48.0","48.0","100.0","48.0","0","0.0","Open",""
"000511","Northland Preparatory and Fitness Academy","000511","Northland Preparatory and Fitness Academy","Franklin","Region 11","Community School Startup","98.2","0","19","35382","19","100.0","4","21.0","100","60.0","60.0","100.0","60.0","0","0.0","Open",""
"000513","Columbus Scioto 6-12","043802","Columbus City School District","Franklin","Region 11","High School","91.1","13","30","66077","30","100.0","22","73.3","38.3","64.0","167.0","95.2","159.0","0","0.0","Open","******"
"000519","Whiteoak Junior High School","047613","Bright Local","Highland","Region 14","Middle School","97.1","9","5","42242","5","100.0","3","60.0","100","40.0","40.0","100.0","40.0","0","0.0","Open","041004"
"000520","Youngstown Early College","045161","Youngstown City Schools","Mahoning","Region 5","High School","95.5","15","10","55837","10","100.0","9","90.0","98","48.0","49.0","100.0","49.0","0","0.0","Open","******"
"000525","Project Rebuild Community School","000525","Project Rebuild Community School","Stark","Region 9","Dropout Recovery","97.3","5","4","31571","4","100.0","1","12.5","100.0","6.0","6.0","100.0","6.0","0.0","0.0","Open",""
"000527","Cleveland Academy for Scholarship Technology and Leadership","000527","Cleveland Academy for Scholarship Technology and Leadership","Cuyahoga","Region 3","Dropout Recovery","0.0","3","11","36771","11","100.0","7","63.6","100.0","55.0","55.0","100.0","55.0","20.0","11.0","Open",""
"000534","Constellation Schools: Puritas Community Middle","000534","Constellation Schools: Puritas Community Middle","Cuyahoga","Region 3","Community School Startup","98.4","0","12","33091","12","100.0","1","8.5","100","46.0","46.0","100.0","46.0","0","0.0","Open",""
"000539","Amanda-Clearcreek Elementary School","046847","Amanda-Clearcreek Local","Fairfield","Region 11","Elementary School","94.5","11","24","45400","24","100.0","15","62.5","100","90.0","90.0","100.0","90.0","0","0.0","Open","122069"
"000541","Constellation Schools: Outreach Academy for Students with Di","000541","Constellation Schools: Outreach Academy for Students with Di","Cuyahoga","Region 3","Community School Startup","97.3","0","8","36122","7","87.5","0","0.0","78","32.0","41.0","100.0","41.0","0","0.0","Open",""
"000543","Pinnacle Academy","000543","Pinnacle Academy","Cuyahoga","Region 3","Community School Startup","100","4","35","40537","35","100.0","11","31.4","100","110.0","110.0","100.0","110.0","0","0.0","Open",""
"000546","Winterfield Venture Academy","000546","Winterfield Venture Academy","Lucas","Region 1","Community School Startup","100","5","27","36186","26","96.3","12","44.5","100","120.0","120.0","100.0","120.0","1.7","2.0","Open",""
"000547","Amanda Elementary School","044404","Middletown City","Butler","Region 13","Elementary School","96.3","15","28","57429","28","100.0","21","75.0","100","126.0","126.0","100.0","126.0","0","0.0","Open","013284"
"000553","Columbus Humanities, Arts and Technology Academy","000553","Columbus Humanities, Arts and Technology Academy","Franklin","Region 11","Community School Startup","98.2","0","22","24545","19","86.4","0","0.0","100","104.0","104.0","100.0","104.0","17.3","18.0","Open",""
"000556","A+ Arts Academy","000556","A+ Arts Academy","Franklin","Region 11","Community School Startup","97.7","3","18","36023","18","100.0","5","26.4","95.2","59.0","62.0","100.0","62.0","43.5","27.0","Open",""
"000557","Columbus Arts & Technology Academy","000557","Columbus Arts & Technology Academy","Franklin","Region 11","Community School Startup","97.1","2","36","26958","35","97.2","4","11.1","97.9","143.0","146.0","100.0","146.0","33.6","49.0","Open",""
"000558","Columbus Preparatory Academy","000558","Columbus Preparatory Academy","Franklin","Region 11","Community School Startup","99.5","6","40","34378","39","97.5","13","32.7","85.4","135.0","158.0","100.0","158.0","0","0.0","Open",""
"000559","Orion Academy","000559","Orion Academy","Hamilton","Region 13","Community School Startup","100","4","34","40452","34","100.0","14","41.2","100","150.0","150.0","100.0","150.0","6.7","10.0","Open",""
"000560","Apex Academy","000560","Apex Academy","Cuyahoga","Region 3","Community School Startup","100","6","29","38631","29","100.0","11","37.9","100","106.0","106.0","100.0","106.0","25.5","27.0","Open",""
"000562","Amanda-Clearcreek High School","046847","Amanda-Clearcreek Local","Fairfield","Region 11","High School","96.8","11","25","46310","25","100.0","10","40.0","100","114.0","114.0","100.0","114.0","0","0.0","Open","******"
"000564","Virtual Schoolhouse, Inc.","000564","Virtual Schoolhouse, Inc.","Cuyahoga","Region 3","Community School Startup","95.6","4","23","25910","23","100.0","7","31.2","88.6","31.0","35.0","100.0","35.0","0","0.0","Open",""
"000575","Hope Academy Northwest Campus","000575","Hope Academy Northwest Campus","Cuyahoga","Region 3","Community School Startup","94.9","2","25","32582","25","100.0","7","28.6","100","80.0","80.0","100.0","80.0","17.5","14.0","Open",""
"000576","King Academy Community School","000576","King Academy Community School","Hamilton","Region 13","Community School Startup","99.9","1","5","43067","5","100.0","1","11.1","100","10.0","10.0","100.0","10.0","50","5.0","Open",""
"000577","Emerson Academy","000577","Emerson Academy","Montgomery","Region 10","Community School Startup","100","5","37","38402","36","97.3","23","62.2","100","113.0","113.0","100.0","113.0","2.7","3.0","Open",""
"000585","FCI Academy","000585","FCI Academy","Franklin","Region 11","Community School Startup","100","0","37","20229","17","45.9","6","16.2","88.4","61.0","69.0","100.0","69.0","18.8","13.0","Open",""
"000596","Amelia Elementary School","046359","West Clermont Local","Clermont","Region 13","Elementary School","94.9","16","31","61365","31","100.0","26","85.2","100","135.0","135.0","100.0","135.0","0","0.0","Open","000612"
"000598","Coshocton Opportunity School","000598","Coshocton Opportunity School","Coshocton","Region 12","Dropout Recovery","100.0","11","2","10800","2","100.0","2","100.0","100.0","2.0","2.0","100.0","2.0","0.0","0.0","Open",""
"000604","Amelia High School","046359","West Clermont Local","Clermont","Region 13","High School","95.5","14","52","58071","52","100.0","41","79.7","100","320.0","320.0","100.0","320.0","0","0.0","Open","******"
