"Building IRN","Building Name","District IRN","District Name","County","Region","Street address","City and Zip code","Phone #","Superintendent","Grade Span","Open/Closed Status (as of 9/1/2014)","School Type","Assessment Passage Rate 2013-14 # of Testing Students","Assessment Passage Rate 2013-14 # of Proficient Students","Assessment Passage Rate 2013-14 % of Proficient Students","Assessment Passage Rate 2013-14 Rating","Four-Year Graduation Rate Numerator 2013","Four-Year Graduation Rate Denominator 2013","	2013 4-Year Longitudinal Graduation Rate - Class of 2013","Four-Year Graduation Rate Rating","Five-Year Graduation Rate Numerator 2012","Five-Year Graduation Rate Denominator 2012","	2013 5-Year Longitudinal Graduation Rate - Class of 2012","Five-Year Graduation Rate Rating","Six-Year Graduation Rate Numerator 2011","Six-Year Graduation Rate Denominator 2011","2013 6-Year Longitudinal Graduation Rate - Class of 2011","Six-Year Graduation Rate Rating","Seven-Year Graduation Rate Numerator 2010","Seven-Year Graduation Rate Denominator 2010","2013 7-Year Longitudinal Graduation Rate - Class of 2010","Seven-Year Graduation Rate Rating","Overall AMO Points","AMO Final Rating","Watermark"
"008289","Eagle Learning Center","008289","Eagle Learning Center","Lucas","Region 1","5721 Seaman St","Oregon, Ohio 43616-2631","(419) 720-2003","Hal D. Gregory","9-12","Open","Dropout Recovery","33.0","22.0","66.7","Exceeds Standards","5","62","8.1","Meets Standards","9","73","12.3","Meets Standards","11.0","91.0","12.1","Meets Standards","7.0","87.0","8.0","Does Not Meet Standards","67.0","Exceeds Standards",""
"009148","Zanesville Community School","009148","Zanesville Community School","Muskingum","Region 12","968 Pine St","Zanesville, Ohio 43701-5362","(740) 588-5685","Jeffrey D. Moore","9-12","Open","Dropout Recovery","14.0","3.0","21.400000000000002","Meets Standards","31","53","58.5","Exceeds Standards","40","54","74.1","Exceeds Standards","34.0","43.0","79.10000000000001","Exceeds Standards","26.0","35.0","74.3","Exceeds Standards","0.0","Does Not Meet Standards",""
"009996","Mahoning County High School","009996","Mahoning County High School","Mahoning","Region 5","940 Bryn Mawr Ave","Youngstown, Ohio 44505-4277","(330) 965-2860","Jennifer B. Whittemore","9-12","Open","Dropout Recovery","21.0","7.0","33.3","Meets Standards","19","60","31.7","Exceeds Standards","22","43","51.2","Exceeds Standards","18.0","34.0","52.9","Exceeds Standards","","","","Not Rated","14.0","Meets Standards",""
"011436","Pleasant Education Academy","011436","Pleasant Education Academy","Marion","Region 7","1107 Owens Rd W","Marion, Ohio 43302-8421","(740) 389-4476","Lane A. Warner","9-12","Open","Dropout Recovery","","","","Not Rated","15","31","48.4","Exceeds Standards","7","12","58.3","Exceeds Standards","","","","Not Rated","","","","Not Rated","0.0","Does Not Meet Standards",""
"011444","Rushmore Academy","011444","Rushmore Academy","Marion","Region 7","910 E Church St","Marion, Ohio 43302-4317","(740) 387-2043","Steve W. Vanderhoff","6-12","Open","Dropout Recovery","83.0","73.0","88.0","Exceeds Standards","66","104","63.5","Exceeds Standards","87","105","82.9","Exceeds Standards","64.0","81.0","79.0","Exceeds Standards","5.0","13.0","38.5","Meets Standards","66.7","Exceeds Standards",""
"011479","LifeLinks Community School","011479","LifeLinks Community School","Van Wert","Region 1","205 W Crawford St","Van Wert, Ohio 45891-1903","(419) 623-5380","Kenneth D. Amstutz","6-12","Open","Dropout Recovery","11.0","5.0","45.5","Meets Standards","7","18","38.9","Exceeds Standards","7","14","50.0","Exceeds Standards","4.0","12.0","33.3","Meets Standards","","","","Not Rated","","Not Rated",""
"011507","Achieve Career Preparatory Academy","011507","Achieve Career Preparatory Academy","Lucas","Region 1","301 Collingwood Blvd","Toledo, Ohio 43604-8624","(419) 243-8559","Kerry L. Gordon-Keese","9-12","Open","Dropout Recovery","42.0","10.0","23.8","Meets Standards","18","81","22.2","Meets Standards","10","65","15.4","Meets Standards","10.0","63.0","15.9","Meets Standards","20.0","48.0","41.7","Exceeds Standards","18.1","Meets Standards",""
"011956","Everest High School","011956","Everest High School","Franklin","Region 11","1555 Graham Rd","Reynoldsburg, Ohio 43068-2632","(614) 367-1980","Ralph D. Gillum","9-12","Open","Dropout Recovery","34.0","24.0","70.60000000000001","Exceeds Standards","43","67","64.2","Exceeds Standards","48","81","59.3","Exceeds Standards","29.0","43.0","67.4","Exceeds Standards","","","","Not Rated","70.60000000000001","Exceeds Standards",""
"012000","Cruiser Academy","012000","Cruiser Academy","Franklin","Region 11","2751 Winchester Pike","Columbus, Ohio 43232-4827","(614) 237-8756","Monique R. Hamilton","9-12","Open","Dropout Recovery","40.0","24.0","60.0","Exceeds Standards","57","118","48.3","Exceeds Standards","80","134","59.7","Exceeds Standards","36.0","75.0","48.0","Exceeds Standards","","","","Not Rated","29.5","Meets Standards",""
"012036","Thurgood Marshall High School","012036","Thurgood Marshall High School","Cuyahoga","Region 3","3167 Fulton Rd Ste 209","Cleveland, Ohio 44109-1465","(216) 961-9813","Gamal D. Brown","8-12","Open","Dropout Recovery","15.0","7.0","46.7","Meets Standards","4","40","10.0","Meets Standards","4","50","8.0","Does Not Meet Standards","3.0","33.0","9.1","Does Not Meet Standards","","","","Not Rated","10.3","Meets Standards",""
"012038","Langston Hughes High School","012038","Langston Hughes High School","Cuyahoga","Region 3","11801 Buckeye Rd","Cleveland, Ohio 44120-2620","(216) 721-0845","Gamal D. Brown","8-12","Open","Dropout Recovery","19.0","3.0","15.8","Does Not Meet Standards","4","61","6.6","Does Not Meet Standards","7","53","13.2","Meets Standards","12.0","58.0","20.7","Meets Standards","","","","Not Rated","4.5","Does Not Meet Standards",""
"012040","Road to Success Academy","012040","Road to Success Academy","Franklin","Region 11","1555 Bryden Rd","Columbus, Ohio 43205-2149","(614) 421-5838","Gamal D. Brown","8-12","Open","Dropout Recovery","44.0","10.0","22.7","Meets Standards","9","59","15.3","Meets Standards","11","39","28.2","Meets Standards","3.0","14.0","21.400000000000002","Meets Standards","","","","Not Rated","0.0","Does Not Meet Standards",""
"012042","George V. Voinovich Reclamation Academy","012042","George V. Voinovich Reclamation Academy","Cuyahoga","Region 3","11801 Buckeye Rd","Cleveland, Ohio 44120-2620","(216) 295-1493","Gamal D. Brown","8-12","Open","Dropout Recovery","23.0","5.0","21.7","Meets Standards","5","49","10.2","Meets Standards","13","56","23.2","Meets Standards","6.0","52.0","11.5","Does Not Meet Standards","","","","Not Rated","5.2","Meets Standards",""
"012043","Frederick Douglass Reclamation Academy","012043","Frederick Douglass Reclamation Academy","Cuyahoga","Region 3","3167 Fulton Rd","Cleveland, Ohio 44109-1465","(216) 941-9661","Gamal D. Brown","8-12","Open","Dropout Recovery","22.0","13.0","59.1","Exceeds Standards","4","50","8.0","Meets Standards","8","57","14.0","Meets Standards","3.0","23.0","13.0","Meets Standards","","","","Not Rated","0.0","Does Not Meet Standards",""
"012044","Capital High School","012044","Capital High School","Franklin","Region 11","640 Harrisburg Pike","Columbus, Ohio 43223-2112","(614) 228-2854","Gamal D. Brown","8-12","Open","Dropout Recovery","40.0","11.0","27.5","Meets Standards","9","66","13.6","Meets Standards","5","42","11.9","Does Not Meet Standards","3.0","10.0","30.0","Not Rated","","","","Not Rated","3.2","Does Not Meet Standards",""
"012497","Pickerington Community School","012497","Pickerington Community School","Fairfield","Region 11","7800 Refugee Rd","Pickerington, Ohio 43147-7987","(614) 830-2755","Bobby D. Blackburn","9-12","Open","Dropout Recovery","69.0","38.0","55.1","Meets Standards","40","53","75.5","Exceeds Standards","3","14","21.4","Meets Standards","","","","Not Rated","","","","Not Rated","66.7","Exceeds Standards",""
"012528","The Academy for Urban Scholars","012528","The Academy for Urban Scholars","Franklin","Region 11","1808 E Broad St","Columbus, Ohio 43203-2003","(614) 545-9890","Aaron M. Butler","9-12","Open","Dropout Recovery","78.0","30.0","38.5","Meets Standards","7","56","12.5","Meets Standards","5","84","6.0","Does Not Meet Standards","5.0","56.0","8.9","Does Not Meet Standards","","","","Not Rated","65.6","Exceeds Standards",""
"012529","Focus North High School","012529","Focus North High School","Franklin","Region 11","4807 Evanswood Dr","Columbus, Ohio 43229-6285","(614) 310-0430","Kathy Williams","9-12","Open","Dropout Recovery","24.0","13.0","54.2","Meets Standards","16","91","17.6","Meets Standards","24","64","37.5","Meets Standards","9.0","45.0","20.0","Meets Standards","","","","Not Rated","8.9","Meets Standards",""
"012624","Accelerated Achievement Academy of East Cincinnati","012624","Accelerated Achievement Academy of East Cincinnati","Hamilton","Region 13","415 W Court St","Cincinnati, Ohio 45203-1519","(513) 246-4102","Gamal D. Brown","9-12","Open","Dropout Recovery","49.0","8.0","16.3","Does Not Meet Standards","6","59","10.2","Meets Standards","6","44","13.6","Meets Standards","","","","Not Rated","","","","Not Rated","0.1","Does Not Meet Standards",""
"012683","Accelerated Achievement Academy of North Cincinnati","012683","Accelerated Achievement Academy of North Cincinnati","Hamilton","Region 13","2712 Vine St","Cincinnati, Ohio 45219-2019","(513) 246-4260","Gamal D. Brown","9-12","Closed","Dropout Recovery","26.0","4.0","15.4","Does Not Meet Standards","2","55","3.6","Does Not Meet Standards","6","43","14.0","Meets Standards","","","","Not Rated","","","","Not Rated","33.3","Exceeds Standards",""
"012867","Townsend North Community School","012867","Townsend North Community School","Erie","Region 2","305 S Washington St","Castalia, Ohio 44824-9263","(419) 684-5402","Peter Bartkowiak","9-12","Open","Dropout Recovery","35.0","16.0","45.7","Meets Standards","37","125","29.6","Meets Standards","34","75","45.3","Exceeds Standards","9.0","39.0","23.1","Meets Standards","","","","Not Rated","0.0","Does Not Meet Standards",""
"013059","West Carrollton Secondary Academy","013059","West Carrollton Secondary Academy","Montgomery","Region 10","3400 W Alex Bell Rd","West, Ohio 45449-2819","","Rusty G. Clifford","9-12","Open","Dropout Recovery","18.0","12.0","66.7","Exceeds Standards","16","28","57.1","Exceeds Standards","     .","     .","    .","Not Rated","","","","Not Rated","","","","Not Rated","","Not Rated",""
"013226","Life Skills High School of Cleveland","013226","Life Skills High School of Cleveland","Cuyahoga","Region 3","4600 Carnegie Ave","Cleveland, Ohio 44103-4371","(216) 431-7571","Margaret M. Ford","9-12","Open","Dropout Recovery","11.0","4.0","36.4","Meets Standards","2","48","4.2","Does Not Meet Standards","4","56","7.1","Does Not Meet Standards","","","","Not Rated","","","","Not Rated","0.0","Does Not Meet Standards",""
"014051","Northmont Secondary Academy","014051","Northmont Secondary Academy","Montgomery","Region 10","4001 Old Salem Rd","Englewood, Ohio 45322-2681","(937) 832-5010","George G. Caras","9-12","Open","Dropout Recovery","","","","Not Rated","     .","     .","    .","Not Rated","     .","     .","    .","Not Rated","","","","Not Rated","","","","Not Rated","","Not Rated",""
"014062","Life Skills High School of Middletown","014062","Life Skills High School of Middletown","Butler","Region 13","631 S Breiel Blvd","Middletown, Ohio 45044-5113","(513) 423-1800","Margaret M. Ford","9-12","Open","Dropout Recovery","15.0","3.0","20.0","Meets Standards","     .","     .","    .","Not Rated","     .","     .","    .","Not Rated","","","","Not Rated","","","","Not Rated","","Not Rated",""
"014067","Ohio Construction Academy","014067","Ohio Construction Academy","Franklin","Region 11","1725 Jetway Blvd","Columbus, Ohio 43219-1674","","Barton H. Hacker","9-12","Open","Dropout Recovery","","","","Not Rated","     .","     .","    .","Not Rated","     .","     .","    .","Not Rated","","","","Not Rated","","","","Not Rated","","Not Rated","Enrollment data subject to change due to school reporting error."
"014190","Life Skills High School of Springfield","014190","Life Skills High School of Springfield","Clark","Region 10","1637 Selma Rd","Springfield, Ohio 45505-4245","(937) 322-2940","Margaret M. Ford","K-12","Closed","Dropout Recovery","11.0","3.0","27.3","Meets Standards","     .","     .","    .","Not Rated","     .","     .","    .","Not Rated","","","","Not Rated","","","","Not Rated","","Not Rated",""
"132795","Cliff Park High School","132795","Cliff Park High School","Clark","Region 10","821 N Limestone St","Springfield, Ohio 45503-3609","(937) 342-3006","John P. Stack","9-12","Open","Dropout Recovery","24.0","8.0","33.3","Meets Standards","13","76","17.1","Meets Standards","5","83","6.0","Does Not Meet Standards","15.0","107.0","14.0","Meets Standards","19.0","139.0","13.700000000000001","Meets Standards","8.3","Meets Standards",""
"132803","Marshall High School","132803","Marshall High School","Butler","Region 13","4720 Roosevelt Blvd","Middletown, Ohio 45044-6250","(513) 318-7078","John P. Stack","9-12","Open","Dropout Recovery","21.0","7.0","33.3","Meets Standards","23","139","16.5","Meets Standards","40","183","21.9","Meets Standards","44.0","192.0","22.900000000000002","Meets Standards","40.0","216.0","18.5","Meets Standards","3.9","Does Not Meet Standards",""
"132985","Youthbuild Columbus Community","132985","Youthbuild Columbus Community","Franklin","Region 11","1183 Essex Ave","Columbus, Ohio 43201-2925","(614) 291-0805","Nkenge R. Jacobs","9-12,UNG","Open","Dropout Recovery","67.0","5.0","7.5","Does Not Meet Standards","8","48","16.7","Meets Standards","10","64","15.6","Meets Standards","15.0","92.0","16.3","Meets Standards","15.0","65.0","23.1","Meets Standards","17.400000000000002","Meets Standards",""
"133264","Dohn Community","133264","Dohn Community","Hamilton","Region 13","608 E Mcmillan St","Cincinnati, Ohio 45206-1926","(513) 281-6100","Kenneth J. Furrier","9-12","Open","Dropout Recovery","73.0","24.0","32.9","Meets Standards","51","114","44.7","Exceeds Standards","44","93","47.3","Exceeds Standards","33.0","71.0","46.5","Exceeds Standards","15.0","51.0","29.400000000000002","Meets Standards","28.6","Meets Standards",""
"133389","Lighthouse Community Sch Inc","133389","Lighthouse Community Sch Inc","Hamilton","Region 13","6100 Desmond St","Cincinnati, Ohio 45227-1897","(513) 561-7888","Daniel L. Trujillo","6-12","Open","Dropout Recovery","","","","Not Rated","3","19","15.8","Meets Standards","12","32","37.5","Meets Standards","7.0","26.0","26.900000000000002","Meets Standards","12.0","30.0","40.0","Exceeds Standards","","Not Rated",""
"133488","Life Skills Of Trumbull County","133488","Life Skills Of Trumbull County","Trumbull","Region 5","458 Franklin St SE","Warren, Ohio 44483-5715","(330) 392-0231","Margaret M. Ford","9-12","Open","Dropout Recovery","33.0","9.0","27.3","Meets Standards","13","137","9.5","Meets Standards","25","179","14.0","Meets Standards","29.0","208.0","13.9","Meets Standards","28.0","208.0","13.5","Meets Standards","18.6","Meets Standards",""
"133785","Life Skills Ctr Of Cincinnati","133785","Life Skills Ctr Of Cincinnati","Hamilton","Region 13","2612 Gilbert Ave","Cincinnati, Ohio 45206-1205","(513) 475-0222","Margaret M. Ford","9-12","Open","Dropout Recovery","13.0","4.0","30.8","Meets Standards","6","117","5.1","Does Not Meet Standards","9","151","6.0","Does Not Meet Standards","21.0","208.0","10.1","Does Not Meet Standards","16.0","222.0","7.2","Does Not Meet Standards","4.1","Does Not Meet Standards",""
