"Sponsor IRN","Sponsor Name","School IRN","School Name","Total Formula Aid Payment FY13 Grade K","Total Formula Aid Payment FY13 Grades 1 -12","Total Formula Aid Payment FY13 Grades K -12","Weighted Special Education FY13","Weighted Vocational Education FY13","WEB_INT_I_AID (Part 1 PBA Total Intervention)","WEB_INT_II_AID (Part 2 PBA Total Intervention)","WEB_INT_III_AID (Part 3PBA Total Intervention)","PBA Total Intervention FY13","PBA All Day Kindergarten FY13","PBA Class Size Reduction FY13","PBA Limited English Proficient FT11","PBA Professional Development FY13","PBA Dropout Provention FY13","PBA Outreach FY13","PBA Guarantee FY13","PBA Total  FY13","Parity Aid FY13","Subsidy for High Performing District FY13","Total Payment FY13"
"000662","Ohio Council of Community Schools","000951","Toledo Preparatory and Fitness Academy","90321.42","651215.4","741536.8200000001","99208.68","0.0","324.6","865.6","12464.64","13654.84","88073.74","70666.75","0.0","1922.7","12881.68","12881.68","0.0","200081.39","87003.86","2479.28","1130310.03"
"000662","Ohio Council of Community Schools","000952","Columbus Preparatory and Fitness Academy","96310.52","889809.96","986120.48","76730.05","0.0","649.2","1500.37","12464.64","14614.21","95450.91","46837.08","3049.32","1509.83","7357.6","10026.75","0.0","178845.7","47303.91","0.0","1289000.1400000001"
"000662","Ohio Council of Community Schools","000953","Mt. Healthy Preparatory and Fitness Academy","141742.17","1121959.11","1263701.28","184114.16","0.0","757.34","1514.8","18500.25","20772.39","113229.61","106429.7","0.0","2517.48","4933.42","4953.48","0.0","252836.08000000005","68372.28","0.0","1769023.7999999998"
"000662","Ohio Council of Community Schools","007995","Cleveland Arts and Social Sciences Academy","130933.26","1707750.64","1838683.9","59369.73","0.0","649.2","1731.2","24929.28","27309.68","126570.68","176376.53","0.0","4737.58","25419.95","25506.69","0.0","385921.11000000004","216405.41","0.0","2500380.15"
"000662","Ohio Council of Community Schools                           ","008063","Life Skills Center of North Akron                           ","0.0","531148.1","531148.1","91678.66","91402.47","91.97","216.4","3116.16","3424.5299999999997","0.0","0.0","0.0","1069.07","5129.0","5129.0","0.0","14751.599999999999","41129.35","0.0","770110.1799999999"
"000662","Ohio Council of Community Schools","008065","Imani Learning Academy","54244.18","600678.76","654922.9400000001","11447.06","0.0","486.9","1298.4","18696.96","20482.26","53760.03","60295.99","0.0","1715.85","11478.65","11478.65","0.0","159211.43","77549.91","0.0","903131.3400000002"
"000662","Ohio Council of Community Schools","008281","South Scioto Academy","59035.47","783831.31","842866.78","64979.07","0.0","865.6","2308.27","33239.04","36412.91","58508.55","75608.96","2258.02","2189.0","11993.84","12102.6","50144.27","249218.15","10337.68","0.0","1167401.6800000002"
"000662","Ohio Council of Community Schools","009147","Northpointe Academy","140487.31","1423410.74","1563898.05","133300.37","0.0","1595.95","4255.87","61284.48","67136.3","139233.39","169116.33","0.0","4109.59","27478.75","27478.75","47982.76","482535.87000000005","185679.27","0.0","2365413.56"
"000662","Ohio Council of Community Schools","009164","Central Academy of Ohio","93886.37","720860.15","814746.52","26532.09","0.0","216.4","577.07","8309.76","9103.23","75241.44","68935.12","0.0","1561.73","9935.71","9935.71","0.0","174712.93999999997","67995.3","0.0","1083986.8499999999"
"000662","Ohio Council of Community Schools","009181","Clay Avenue Community School","222937.33","2478520.01","2701457.34","129373.92","0.0","1947.6","5193.6","74787.84","81929.04","218121.01","276625.39","0.0","7154.08","47945.88","47945.88","123950.67","803671.95","323852.4","0.0","3958355.6099999994"
"000662","Ohio Council of Community Schools","009192","Foundation Academy","109914.35","1828787.63","1938701.98","97064.61","0.0","0.0","0.0","0.0","0.0","103562.96","161870.17","0.0","4694.81","0.0","16051.04","0.0","286178.98","216229.82","0.0","2538175.39"
"000662","Ohio Council of Community Schools","010180","Mount Auburn International Academy","215008.89","2270726.57","2485735.46","148706.53","0.0","1893.5","5049.33","72710.4","79653.23","211167.82","223126.63","0.0","6554.19","40065.86","40065.86","0.0","600633.59","24541.35","0.0","3259616.9299999992"
"000662","Ohio Council of Community Schools","010182","Performance Academy Eastland","127824.62","1147512.6","1275337.2200000002","132443.83","0.0","590.23","1561.44","20087.87","22239.54","114671.11","108440.18","0.0","2843.39","13311.57","13311.57","0.0","274817.36","40979.54","0.0","1723577.9500000004"
"000662","Ohio Council of Community Schools","012105","Southside Academy","67249.1","1523913.63","1591162.73","113601.32","15632.32","1502.9","3895.2","56090.88","61488.979999999996","63878.9","97334.21","0.0","4164.82","35243.64","35243.64","0.0","297354.19000000006","263123.02","0.0","2280873.58"
"000662","Ohio Council of Community Schools","012541","University of Cleveland Preparatory School","163017.75","1810249.9","1973267.65","98574.29","0.0","585.01","1514.8","21813.12","23912.93","151867.85","166118.42","0.0","5102.14","28008.26","28367.43","0.0","403377.03","231340.11","0.0","2706559.0799999996"
"000662","Ohio Council of Community Schools","013132","Lake Erie College Preparatory School","75976.09","1372874.1","1448850.1900000002","111988.33","0.0","568.05","1476.33","19735.68","21780.06","75297.97","101974.27","0.0","3680.16","19178.93","20534.89","0.0","242446.27999999997","172060.86","0.0","1975345.6600000001"
"000662","Ohio Council of Community Schools","013148","Stepstone Academy","223108.47","171801.77","394910.24","33171.4","0.0","676.25","1803.33","25968.0","28447.58","212948.52","96347.06","0.0","998.62","5461.34","5516.95","0.0","349720.07","45692.96","0.0","823494.6699999999"
"000662","Ohio Council of Community Schools","013164","Believe to Achieve-Canton","104238.96","826439.52","930678.48","65394.24","0.0","757.4","2019.73","25893.99","28671.120000000003","98418.73","94846.51","0.0","2270.27","10026.56","10026.56","0.0","244259.74999999997","130176.48","0.0","1370508.9500000002"
"000662","Ohio Council of Community Schools","013165","Believe To Achieve-Cleveland","166126.38","1664001.67","1830128.0499999998","141565.27","0.0","784.45","2091.87","30122.88","32999.2","164643.63","146333.36","0.0","4853.3","26403.42","26660.98","0.0","401893.88999999996","219776.55","0.0","2593363.7599999993"
"000662","Ohio Council of Community Schools","013175","Kids Unlimited Academy","78143.57","200777.64","278921.21","20151.55","0.0","297.55","793.47","11425.92","12516.94","77446.11","55215.52","0.0","729.64","4878.07","4878.07","0.0","155664.35000000003","32960.09","0.0","487697.20000000007"
"000662","Ohio Council of Community Schools","013199","Nexus Academy of Cleveland","0.0","252569.15","252569.15","17633.17","0.0","81.15","216.4","3116.16","3413.71","0.0","0.0","0.0","536.04","2526.54","2861.83","0.0","9338.119999999999","25402.44","0.0","304942.88"
"000662","Ohio Council of Community Schools","013200","Nexus Academy of Toledo","0.0","192449.93","192449.93","27771.52","0.0","54.1","144.27","2077.44","2275.81","0.0","0.0","0.0","402.88","2659.56","2659.56","0.0","7997.8099999999995","18201.43","0.0","246420.68999999997"
"000662","Ohio Council of Community Schools","013201","Nexus Academy of Columbus","0.0","162903.67","162903.67","4912.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","289.96","1402.8","1433.7","0.0","3126.46","4853.27","0.0","175796.00999999998"
"000662","Ohio Council of Community Schools","133678","Riverside Academy","109058.76","1443602.59","1552661.35","241643.43","9870.51","1109.05","2957.47","42587.52","46654.03999999999","108085.36","123054.36","0.0","4100.11","25112.82","25112.82","0.0","332119.51","15344.78","0.0","2151639.58"
"000662","Ohio Council of Community Schools","133785","Life Skills Ctr Of Cincinnati                               ","0.0","604899.65","604899.65","86929.24","93472.86","135.25","360.67","5193.6","5689.52","0.0","0.0","0.0","1519.83","8817.37","8817.37","0.0","24844.090000000004","7970.26","0.0","818116.1"
"000662","Ohio Council of Community Schools","133801","Life Skills Ctr Of Youngstown                               ","0.0","1117053.74","1117053.74","116179.21","180782.69","433.34","1066.61","14542.08","16042.029999999999","0.0","0.0","0.0","2341.33","17245.07","17304.25","0.0","52932.68","156139.2","0.0","1623087.52"
"000662","Ohio Council of Community Schools","142901","Life Skills Center  of Canton","0.0","623722.54","623722.54","63478.56","101995.19","162.3","370.77","3699.14","4232.21","0.0","0.0","0.0","1123.31","4760.45","4760.45","0.0","14876.420000000002","67680.03","0.0","871752.74"
"000662","Ohio Council of Community Schools","142950","Ohio Virtual Academy","2612990.05","70678631.88","73291621.92999999","8299881.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","81591503.55999999"
"000662","Ohio Council of Community Schools                           ","143164","Life Skills Center Of Hamilton County                       ","0.0","499206.2","499206.2","98462.02","75882.52","135.25","360.67","5193.6","5689.52","0.0","0.0","0.0","1037.54","5186.31","5186.31","0.0","17099.68","9164.04","0.0","699814.4600000002"
"000662","Ohio Council of Community Schools","143206","Trotwood Fitness & Prep Acad","130020.64","1583063.19","1713083.8299999998","143600.46","0.0","892.65","2380.4","34277.76","37550.810000000005","124931.31","131251.04","0.0","4504.85","13052.18","13083.56","0.0","324373.75","214277.23","0.0","2395335.27"
"000662","Ohio Council of Community Schools","143214","Middletown Fitness & Prep Acad","130790.67","1244536.12","1375326.79","87373.86","0.0","378.7","980.05","0.0","1358.75","119334.83","120300.24","0.0","2014.99","0.0","9067.84","0.0","252076.65","84610.89","0.0","1799388.1900000002"
"000662","Ohio Council of Community Schools","143396","Alternative Education Academy","205825.78","11667519.16","11873344.94","1567255.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13440600.33"
"000662","Ohio Council of Community Schools","143503","Lake Erie Academy","47713.21","1374642.32","1422355.53","178599.32","0.0","892.65","2380.4","34277.76","37550.810000000005","44460.85","85302.33","0.0","3757.1","25167.66","25167.66","54907.93","276314.34","170012.55","0.0","2047281.7400000002"
"000662","Ohio Council of Community Schools                           ","149302","Life Skills Center Of Toledo                                ","0.0","571931.06","571931.06","106829.89","96923.54","108.2","288.53","4154.88","4551.61","0.0","0.0","0.0","1442.86","9590.3","9590.3","0.0","25175.07","65423.84","0.0","866283.4000000001"
"000821","Thomas B. Fordham Foundation","009122","Columbus Collegiate Academy","0.0","1059330.17","1059330.17","76619.57","0.0","486.9","1298.4","18696.96","20482.26","0.0","0.0","0.0","2779.73","14831.13","14831.13","0.0","52924.24999999999","14872.57","3157.24","1206903.7999999998"
"000821","Thomas B. Fordham Foundation","009964","Sciotoville Elementary Academy","81908.14","643115.85","725023.99","72131.47","0.0","595.1","1558.08","20954.23","23107.41","81177.09","89348.25","0.0","1702.41","0.0","0.0","0.0","195335.16","98428.32","0.0","1090918.94"
"000821","Thomas B. Fordham Foundation","009997","KIPP:  Journey Academy","0.0","1832095.89","1832095.89","152706.15","0.0","1000.85","2668.93","38432.64","42102.42","0.0","0.0","632.25","4864.01","26621.47","26621.47","0.0","100841.62","20231.26","0.0","2105874.9199999995"
"000821","Thomas B. Fordham Foundation","012924","DECA PREP","150611.74","1052428.44","1203040.18","14270.06","0.0","378.7","1009.87","14542.08","15930.65","149267.47","156579.07","0.0","3169.85","20072.75","20072.75","0.0","365092.54","145500.52","0.0","1727903.3"
"000821","Thomas B. Fordham Foundation","012951","Columbus Collegiate Academy - West","0.0","404407.22","404407.22","43040.49","0.0","243.45","649.2","9348.48","10241.13","0.0","0.0","0.0","911.92","4873.93","5266.74","0.0","21293.72","9688.13","0.0","478429.55999999994"
"000821","Thomas B. Fordham Foundation","013034","Village Preparatory School:: Woodland Hills Campus","243243.25","415986.15","659229.4","38673.16","0.0","378.7","1000.73","13503.36","14882.79","223208.71","137200.39","0.0","1615.08","8765.61","8768.74","0.0","394441.32","75856.48","0.0","1168200.3600000003"
"000821","Thomas B. Fordham Foundation","132787","Springfield Academy of Excellence","155602.67","1075928.55","1231531.22","64247.95","0.0","703.3","1875.47","18575.56","21154.33","151189.49","138087.38","0.0","3211.73","96.3","12957.12","0.0","326696.35","163753.23","0.0","1786228.7500000002"
"000821","Thomas B. Fordham Foundation","133454","Dayton Leadership Academies-Dayton View Campus","128166.86","1925925.21","2054092.07","103241.8","0.0","1839.4","4905.06","70632.96","77377.42000000001","127022.91","179016.23","0.0","5444.51","32049.77","32049.77","0.0","452960.6100000001","249847.12","0.0","2860141.6"
"000821","Thomas B. Fordham Foundation","133504","Phoenix Community Learning Ctr","103468.93","1810306.96","1913775.89","73991.93","0.0","1704.15","4544.4","65439.36","71687.91","102545.42","157154.95","0.0","4966.93","29875.33","30042.7","0.0","396273.24000000005","21201.84","6012.22","2411255.1200000006"
"000821","Thomas B. Fordham Foundation","133959","Dayton Leadership Academies-Dayton Liberty Campus","107746.86","1547527.82","1655274.6800000002","246024.92","0.0","676.25","1803.33","25512.26","27991.839999999997","105343.66","119483.67","0.0","4312.54","21298.62","21298.62","0.0","299728.95","190723.36","0.0","2391751.91"
"000821","Thomas B. Fordham Foundation","143644","Sciotoville","0.0","1687307.84","1687307.84","135699.39","15263.18","649.2","1731.2","22633.06","25013.460000000003","0.0","0.0","0.0","3571.48","0.0","0.0","0.0","28584.940000000002","222952.03","0.0","2089807.38"
"000862","Buckeye Community Hope Foundation","000316","Constellation Schools: Westpark Community Middle","0.0","1212023.83","1212023.83","125515.67","0.0","54.1","144.27","2077.44","2275.81","0.0","0.0","0.0","3052.34","16950.66","16985.05","0.0","39263.86","138545.78","3612.33","1518961.4700000002"
"000862","Buckeye Community Hope Foundation","000320","Constellation Schools: Lorain Community Middle","0.0","672034.68","672034.68","55605.12","0.0","143.36","360.67","4361.0","4865.03","0.0","0.0","761.26","1691.73","0.0","7256.2","0.0","14574.220000000001","95453.49","0.0","837667.51"
"000862","Buckeye Community Hope Foundation","000321","Constellation Schools: Old Brooklyn Community Middle","0.0","1095036.65","1095036.65","85396.2","0.0","35.16","72.13","1038.72","1146.01","0.0","0.0","0.0","2391.15","13240.68","13460.79","0.0","30238.63","115934.97","3263.66","1329870.1099999996"
"000862","Buckeye Community Hope Foundation","000534","Constellation Schools: Puritas Community Middle","0.0","789877.46","789877.46","76713.0","0.0","54.1","144.27","2077.44","2275.81","0.0","0.0","0.0","2036.71","11275.73","11287.19","0.0","26875.440000000002","92743.05","0.0","986208.95"
"000862","Buckeye Community Hope Foundation","000541","Constellation Schools: Outreach Academy for Students with Di","5703.92","235457.41","241161.33000000002","900445.01","0.0","0.0","0.0","0.0","0.0","2826.5","0.0","0.0","138.44","463.15","691.12","0.0","4119.21","11047.55","735.76","1157508.86"
"000862","Buckeye Community Hope Foundation","000784","Academy of Columbus","171887.33","1584660.28","1756547.61","54032.24","0.0","703.3","1875.47","27006.72","29585.49","155287.91","171040.38","29828.44","4525.63","24875.9","24875.9","0.0","440019.6500000001","17890.23","0.0","2268489.7299999995"
"000862","Buckeye Community Hope Foundation","000843","Bennett Venture Academy","246580.03","3253396.19","3499976.2199999997","201756.39","0.0","946.75","2524.67","36355.2","39826.619999999995","244379.19","275988.75","0.0","8786.24","58137.99","58137.99","0.0","685256.78","393913.43","0.0","4780902.82"
"000862","Buckeye Community Hope Foundation","000855","Stambaugh Charter Academy","151011.04","2289948.75","2440959.79","140469.37","0.0","2109.9","5626.4","81020.16","88756.46","146836.68","172162.12","0.0","6379.46","53350.8","53483.78","0.0","520969.30000000005","404236.74","0.0","3506635.2"
"000862","Buckeye Community Hope Foundation","000875","Westside Academy","120865.85","650702.05","771567.9","4475.77","0.0","135.25","302.96","2077.44","2515.65","119787.07","48655.2","21293.17","697.29","2699.68","5912.18","0.0","201560.23999999996","52506.37","0.0","1030110.2800000003"
"000862","Buckeye Community Hope Foundation","008278","Noble Academy-Cleveland","108859.12","1502010.63","1610869.75","26912.94","0.0","351.65","918.5","12464.64","13734.789999999999","107887.51","88070.44","0.0","2262.05","9500.78","14605.67","0.0","236061.24","142069.66","5125.5","2021039.0899999999"
"000862","Buckeye Community Hope Foundation","008280","Noble Academy-Columbus","99761.4","1235866.17","1335627.5699999998","8278.45","0.0","81.15","177.93","1038.72","1297.8000000000002","75015.32","78572.16","19396.27","2313.22","12210.26","13641.38","0.0","202446.41000000003","32535.4","0.0","1578887.8299999996"
"000862","Buckeye Community Hope Foundation","009149","Constellation Schools: Westside Community School of the Arts","125828.25","1695373.16","1821201.41","111117.46","0.0","386.81","1009.87","14542.08","15938.76","118599.94","154336.95","0.0","4538.99","25206.5","25348.42","0.0","343969.56","207111.74","0.0","2483400.17"
"000862","Buckeye Community Hope Foundation","009154","Cincinnati Leadership Academy","84817.15","1216244.73","1301061.88","90481.36","0.0","622.15","1659.07","23890.56","26171.780000000002","81233.61","103909.52","0.0","3309.74","19963.77","19963.77","0.0","254552.18999999997","13163.54","0.0","1659258.9700000002"
"000862","Buckeye Community Hope Foundation","009178","Romig Road Community School","0.0","2586837.25","2586837.25","187394.36","0.0","973.8","2596.8","37393.92","40964.52","0.0","239526.94","0.0","6751.48","32075.72","32075.72","0.0","351394.38","258929.74","0.0","3384555.7300000004"
"000862","Buckeye Community Hope Foundation","009179","Horizon Science Academy Columbus Middle School","0.0","2424104.71","2424104.71","153998.56","0.0","775.79","1947.6","28045.44","30768.829999999998","0.0","0.0","13548.12","6132.5","33667.15","33667.15","0.0","117783.75","24672.2","0.0","2720559.22"
"000862","Buckeye Community Hope Foundation","009909","Constellation Schools: Mansfield Community Middle","0.0","709737.52","709737.52","118468.03","0.0","432.8","1154.13","6943.84","8530.77","0.0","0.0","0.0","1792.23","0.0","6127.43","0.0","16450.43","80033.92","0.0","924689.9000000001"
"000862","Buckeye Community Hope Foundation","009990","Horizon Science Academy Elementary School","282685.8","2259946.18","2542631.98","175139.12","0.0","757.4","2019.73","29084.16","31861.29","243418.18","294729.5","25282.29","6361.16","34861.45","34866.18","0.0","671380.05","28139.3","0.0","3417290.4500000007"
"000862","Buckeye Community Hope Foundation","010005","Horizon Science Academy Cleveland Elementary School","49196.24","779610.42","828806.66","23138.37","0.0","189.35","504.93","7271.04","7965.32","45930.63","72670.92","8255.4","2093.63","10939.95","11637.44","0.0","159493.29","97266.68","0.0","1108705.0"
"000862","Buckeye Community Hope Foundation","010006","Knight Academy","0.0","933159.68","933159.68","79799.99","0.0","216.4","577.07","8309.76","9103.23","0.0","0.0","0.0","2399.28","16044.87","16044.87","0.0","43592.25","108410.14","0.0","1164962.06"
"000862","Buckeye Community Hope Foundation","010007","Horizon Science Academy Denison Elementary School","126170.49","931733.7","1057904.19","43956.94","0.0","486.9","1298.4","18696.96","20482.26","121878.68","139366.5","17289.17","2740.89","15117.16","15231.66","0.0","332106.31999999995","124423.77","0.0","1558391.2199999995"
"000862","Buckeye Community Hope Foundation","010205","L. Hollingworth School for Talented and Gifted","64083.44","1042959.94","1107043.38","34977.41","0.0","622.15","1659.07","23890.56","26171.780000000002","61674.23","107484.85","0.0","2910.78","19508.2","19508.2","0.0","237258.04000000004","132560.88","0.0","1511839.71"
"000862","Buckeye Community Hope Foundation                           ","011507","Achieve Career Preparatory Academy                          ","0.0","1123385.07","1123385.07","263695.63","0.0","595.1","1586.93","22851.84","25033.87","0.0","0.0","0.0","2910.94","19447.16","19447.16","0.0","66839.13","131545.37","0.0","1585465.2000000002"
"000862","Buckeye Community Hope Foundation","011533","Horizon Science Academy Lorain","177591.25","2000019.0","2177610.25","102656.18","0.0","81.15","216.4","749.83","1047.38","167526.66","182297.7","35177.6","5389.9","275.22","23290.48","0.0","415004.93999999994","293602.79","0.0","2988874.1600000006"
"000862","Buckeye Community Hope Foundation","011534","Horizon Science Academy Dayton High School","0.0","1986785.92","1986785.92","167840.03","0.0","919.7","2452.54","35018.5","38390.74","0.0","0.0","0.0","5186.41","31400.72","31400.72","0.0","106378.59","237972.81","0.0","2498977.3500000006"
"000862","Buckeye Community Hope Foundation","011976","Horizon Science Academy Dayton Downtown","88980.99","1024821.51","1113802.5","40988.1","0.0","549.11","1464.3","20892.33","22905.74","83212.16","89671.07","0.0","2922.76","18466.03","18466.03","0.0","235643.79000000004","134114.92","0.0","1524549.31"
"000862","Buckeye Community Hope Foundation","011986","Horizon Science Academy Youngstown","160336.91","1835004.89","1995341.7999999998","54366.39","0.0","1650.05","4400.13","63361.92","69412.1","155400.97","182744.71","0.0","5230.11","44258.38","44258.38","0.0","501304.65","329435.55","0.0","2880448.389999999"
"000862","Buckeye Community Hope Foundation","011987","Horizon Science Academy Toledo Downtown","128651.7","1436244.54","1564896.24","89768.2","0.0","1163.15","3101.73","44664.96","48929.84","127333.83","122150.51","0.0","4159.28","27885.21","27885.21","98144.98","456488.86000000004","188344.42","0.0","2299497.72"
"000862","Buckeye Community Hope Foundation","012011","Columbus Performance Academy","91148.48","732210.93","823359.41","82145.75","0.0","892.65","2380.4","34277.76","37550.810000000005","84597.15","86414.96","752.67","2105.79","11566.0","11566.0","0.0","234553.38","8890.43","0.0","1148948.97"
"000862","Buckeye Community Hope Foundation","012025","Constellation Schools: Stockyard Community Middle","0.0","467549.5","467549.5","60484.61","0.0","81.15","216.4","3116.16","3413.71","0.0","0.0","0.0","1240.84","6890.82","6893.0","0.0","18438.37","56321.89","0.0","602794.3699999999"
"000862","Buckeye Community Hope Foundation","012026","Constellation Schools: Collinwood Village Academy","69901.42","312232.03","382133.45","28192.93","0.0","243.45","629.97","8309.76","9183.18","68797.02","62820.35","0.0","934.62","4927.97","5275.62","0.0","151938.76","43854.88","0.0","606120.02"
"000862","Buckeye Community Hope Foundation                           ","012528","The Academy for Urban Scholars                              ","0.0","1250468.17","1250468.17","117561.82","36593.07","54.1","144.27","2077.44","2275.81","0.0","0.0","0.0","3099.84","16344.02","16528.76","0.0","38248.42999999999","23063.18","0.0","1465934.6700000002"
"000862","Buckeye Community Hope Foundation                           ","012529","Focus North High School                                     ","0.0","1036856.74","1036856.74","91573.58","59287.23","108.2","288.53","4154.88","4551.61","0.0","0.0","20292.07","2542.72","13820.4","13893.43","0.0","55100.23","13021.71","0.0","1255839.49"
"000862","Buckeye Community Hope Foundation","012556","Pearl Academy","137949.07","1289197.74","1427146.81","42491.79","7174.19","486.9","1298.4","18696.96","20482.26","130329.92","137597.35","0.0","3570.57","19828.58","19944.82","0.0","331753.50000000006","163155.47","0.0","1971721.7600000002"
"000862","Buckeye Community Hope Foundation","012557","Woodland Academy","125514.54","2013309.11","2138823.65","161429.3","14396.49","784.45","2091.87","30122.88","32999.2","124394.27","150431.83","0.0","5658.15","31362.98","31369.94","0.0","376216.37","257204.68","0.0","2948070.49"
"000862","Buckeye Community Hope Foundation","012668","Garfield Academy","81908.16","1187439.98","1269348.14","143525.89","9822.38","1122.03","2594.88","26818.78","30535.69","71821.37","82666.71","0.0","2873.95","12717.36","12717.36","0.0","213332.44","166119.41","0.0","1802148.2599999998"
"000862","Buckeye Community Hope Foundation","013173","Imagine Hill Avenue","123632.26","452662.3","576294.5599999999","103620.84","0.0","0.0","0.0","0.0","0.0","114473.25","85089.68","0.0","1339.08","8899.46","8899.46","0.0","218700.92999999996","60118.76","0.0","958735.0899999997"
"000862","Buckeye Community Hope Foundation","013174","Young Scholars Prep School","19279.22","134612.28","153891.5","2837.13","0.0","324.6","865.6","12464.64","13654.84","19107.14","23034.15","0.0","409.37","2250.15","2250.15","0.0","60705.80000000001","1618.26","0.0","219052.68999999997"
"000862","Buckeye Community Hope Foundation                           ","132985","Youthbuild Columbus Community                               ","0.0","1460372.08","1460372.08","128186.67","338159.37","81.15","216.4","3116.16","3413.71","0.0","0.0","0.0","3545.1","19045.36","19202.99","0.0","45207.16","23790.62","0.0","1995715.9000000004"
"000862","Buckeye Community Hope Foundation","133819","Hope Academy Lincoln Park","76090.16","1095892.24","1171982.4","128293.49","6628.49","324.6","865.6","12464.64","13654.84","75411.02","91828.55","31158.24","3031.22","16739.17","16773.56","0.0","248596.59999999998","138652.06","0.0","1694153.04"
"000862","Buckeye Community Hope Foundation","134148","Aurora Academy","88039.85","751604.22","839644.07","42071.23","0.0","622.15","1659.07","23890.56","26171.780000000002","84427.56","84674.89","0.0","2211.25","14806.15","14806.15","0.0","227097.77999999997","100024.13","0.0","1208837.2099999995"
"000862","Buckeye Community Hope Foundation","134213","Middlebury Academy","153748.89","1779505.84","1933254.73","134208.72","8217.4","1286.5","3390.27","48819.84","53496.61","151867.85","170987.41","0.0","4979.72","23981.78","23981.78","0.0","429295.15","190041.0","0.0","2695017.0"
"000862","Buckeye Community Hope Foundation                           ","142927","Focus Learning Academy of Southwest Columbus                ","0.0","1411945.88","1411945.88","184991.52","55964.96","486.9","1259.93","16619.52","18366.35","0.0","0.0","0.0","3315.79","17605.87","18149.38","0.0","57437.39","29738.19","0.0","1740077.94"
