"Charter IRN","Charter Name","Charter Operator","Organization Status"
"13148.0","Stepstone Academy","Freestanding","Non Profit"
"13164.0","Believe to Achieve-Canton","Freestanding","Non Profit"
"13165.0","Believe To Achieve-Cleveland","Freestanding","Non Profit"
"13170.0","Hope Academy for Autism","White Hat Management, Inc.","For Profit"
"13173.0","Imagine Hill Avenue","Imagine Schools, Inc.","For Profit"
"13174.0","Young Scholars Prep School","Freestanding","Non Profit"
"13175.0","Kids Unlimited Academy","Freestanding","Non Profit"
"13180.0","BAJIM Village Academy","Freestanding","Non Profit"
"13195.0","Academy of Educational Excellence","Freestanding","Non Profit"
"13198.0","Brookwood Academy","Freestanding","Non Profit"
"13199.0","Nexus Academy of Cleveland","Freestanding","Non Profit"
"13200.0","Nexus Academy of Toledo","Freestanding","Non Profit"
"13201.0","Nexus Academy of Columbus","Freestanding","Non Profit"
"13226.0","Life Skills High School of Cleveland","White Hat Management, Inc.","For Profit"
"13232.0","A+ Children's Academy","Freestanding","Non Profit"
"13233.0","Southern Ohio Academy","Freestanding","Non Profit"
"13240.0","Cincinnati State STEM Academy","Freestanding","Non Profit"
"14081.0","Insight School of Ohio","K12, Inc.","For Profit"
"14132.0","STEAM Academy of Cincinnati","Mosaica Education, Inc.","For Profit"
"14136.0","Mosaica Online","Mosaica Education, Inc.","For Profit"
"14139.0","Imagine Columbus Primary","Imagine Schools, Inc.","For Profit"
"14148.0","Provost Academy Ohio","Edison Learning, Inc.","For Profit"
"132746.0","Summit Acdy Comm Schl for Alternative Learners of Middletown","Summit Academy Management","Non Profit"
"132761.0","Summit Academy Community School Alternative Learners -Xenia","Summit Academy Management","Non Profit"
"132779.0","Summit Academy Akron Middle School","Summit Academy Management","Non Profit"
"132787.0","Springfield Academy of Excellence","Freestanding","Non Profit"
"132795.0","Life Skills High School of Springfield","White Hat Management, Inc.","For Profit"
"132803.0","Life Skills High School of Middletown","White Hat Management, Inc.","For Profit"
"132944.0","Miami Valley Academies","Freestanding","Non Profit"
"132951.0","Constellation Schools: Lorain Community Elementary","Constellation Schools, LLC","For Profit"
"132969.0","Constellation Schools: Elyria Community","Constellation Schools, LLC","For Profit"
"132985.0","Youthbuild Columbus Community","Freestanding","Non Profit"
"132993.0","Constellation Schools: Westpark Community Elementary","Constellation Schools, LLC","For Profit"
"133215.0","Intergenerational School, The","Breakthrough Charter Schools","Non Profit"
"133256.0","Constellation Schools: Parma Community","Constellation Schools, LLC","For Profit"
"133264.0","Dohn Community High School","Institute of Charter School Management and Resources","For Profit"
"133280.0","Washington Park Community","Freestanding","Non Profit"
"133306.0","Summit Academy Community School for Alternative Learn-Canton","Summit Academy Management","Non Profit"
"133322.0","Summit Academy Community School Alternative Learners-Lorain","Summit Academy Management","Non Profit"
"133330.0","T.C.P. World Academy","Freestanding","Non Profit"
"133348.0","Richard Allen Preparatory","Institute of Charter School Management and Resources","For Profit"
"133363.0","Quest Academy Community","Freestanding","Non Profit"
"133389.0","Lighthouse Community Sch Inc","Freestanding","Non Profit"
"133413.0","Electronic Classroom Of Tomorrow","Altair Learning Management","For Profit"
"133421.0","Graham School, The","Freestanding","Non Profit"
"133439.0","Cornerstone Academy Community","Mosaica Education, Inc.","For Profit"
"133454.0","Dayton Leadership Academies-Dayton View Campus","Edison Learning, Inc.","For Profit"
"133488.0","Life Skills of Trumbull County","White Hat Management, Inc.","For Profit"
"133504.0","Phoenix Community Learning Ctr","Freestanding","Non Profit"
"133512.0","Cincinnati College Preparatory Academy","Freestanding","Non Profit"
"133520.0","Citizens Academy","Breakthrough Charter Schools","Non Profit"
"133538.0","Edge Academy, The","Freestanding","Non Profit"
"133561.0","Millennium Community School","Freestanding","Non Profit"
"133587.0","Summit Academy Akron Elementary School","Summit Academy Management","Non Profit"
"133629.0","Horizon Science Acad Cleveland","Concept Schools","Non Profit"
"133660.0","Horizon Science Academy Columbus","Concept Schools","Non Profit"
"133678.0","Riverside Academy","White Hat Management, Inc.","For Profit"
"133736.0","Richard Allen Academy","Institute of Charter School Management and Resources","For Profit"
"133785.0","Life Skills Center of Cincinnati","White Hat Management, Inc.","For Profit"
"133801.0","Life Skills Center of Youngstown","White Hat Management, Inc.","For Profit"
"133819.0","Hope Academy Lincoln Park","White Hat Management, Inc.","For Profit"
"133835.0","Invictus High School","Freestanding","Non Profit"
"133868.0","Towpath Trail High School","White Hat Management, Inc.","For Profit"
"133942.0","Toledo School For The Arts","Freestanding","Non Profit"
"133959.0","Dayton Leadership Academies-Dayton Liberty Campus","Edison Learning, Inc.","For Profit"
"134072.0","Youngstown Community School","Freestanding","Non Profit"
"134098.0","Constellation Schools: Old Brooklyn Community Elementary","Constellation Schools, LLC","For Profit"
"134122.0","Autism Model School","Freestanding","Non Profit"
"134148.0","Aurora Academy","Freestanding","Non Profit"
"134197.0","Hope Academy Chapelside Campus","White Hat Management, Inc.","For Profit"
"134213.0","Hope Academy University","White Hat Management, Inc.","For Profit"
"134221.0","Hope Academy Brown St Campus","White Hat Management, Inc.","For Profit"
"134247.0","City Day Community School","Freestanding","Non Profit"
"134288.0","East End Comm Heritage School","Freestanding","Non Profit"
"142901.0","Life Skills Center  of Canton","White Hat Management, Inc.","For Profit"
"142919.0","Life Skills Center of Elyria","White Hat Management, Inc.","For Profit"
"142927.0","Focus Learning Academy of Southwest Columbus","eSchool Consultants","For Profit"
"142935.0","Focus Learning Academy of Southeastern Columbus","eSchool Consultants","For Profit"
"142943.0","Focus Learning Academy of Northern Columbus","eSchool Consultants","For Profit"
"142950.0","Ohio Virtual Academy","K12, Inc.","For Profit"
"142968.0","Hope Academy Northcoast","White Hat Management, Inc.","For Profit"
"142984.0","Lancaster Digital Academy","Freestanding","Non Profit"
"143115.0","Mound Street IT Careers Academy","Freestanding","Non Profit"
"143123.0","Mound Street Military Careers Academy","Freestanding","Non Profit"
"143131.0","Mound Street Health Careers Acadmy","Freestanding","Non Profit"
"143164.0","Life Skills Center of Hamilton County","White Hat Management, Inc.","For Profit"
"143172.0","International Acad Of Columbus","Freestanding","Non Profit"
"143198.0","Great Western Academy","Imagine Schools, Inc.","For Profit"
"143206.0","Trotwood Fitness & Prep Acad","Freestanding","Non Profit"
"143214.0","Middletown Fitness & Prep Acad","EdVantages","Non Profit"
"143297.0","The Autism Academy Of Learning","Freestanding","Non Profit"
"143305.0","Treca Digital Academy","Freestanding","Non Profit"
"143313.0","Hope Academy Cuyahoga Campus","Freestanding","Non Profit"
"143396.0","Alternative Education Academy","White Hat Management, Inc.","For Profit"
"143412.0","Crittenton Community School","Freestanding","Non Profit"
"143453.0","Mollie Kessler","Freestanding","Non Profit"
"143479.0","Constellation Schools: Puritas Community Elementary","Constellation Schools, LLC","For Profit"
"143487.0","Constellation Schools: Stockyard Community Elementary","Constellation Schools, LLC","For Profit"
"143495.0","Constellation Schools: Mansfield Community Elementary","Constellation Schools, LLC","For Profit"
"143503.0","Lake Erie Academy","The Leona Group, LLC","For Profit"
"143529.0","North Dayton School Of Science & Discovery","National Heritage Academies","For Profit"
"143537.0","Virtual Community School Of Ohio","eSchool Consultants","For Profit"
"143552.0","Eagle Academy","The Leona Group, LLC","For Profit"
"143560.0","Richard Allen Academy II","Institute of Charter School Management and Resources","For Profit"
"143578.0","Richard Allen Academy III","Institute of Charter School Management and Resources","For Profit"
"143602.0","Hamilton Cnty Math & Science","Freestanding","Non Profit"
"143636.0","World Collegiate Preparatory School","Freestanding","Non Profit"
"143644.0","Sciotoville","Freestanding","Non Profit"
"147231.0","Schnee Learning Center","Freestanding","Non Profit"
"148916.0","Marion City Digital Academy","Freestanding","Non Profit"
"148932.0","Franklin Local Community School","Freestanding","Non Profit"
"148981.0","Tomorrow Center","Freestanding","Non Profit"
"148999.0","Mahoning Unlimited Classroom","Freestanding","Non Profit"
"149047.0","Goal Digital Academy","Freestanding","Non Profit"
"149054.0","Akron Digital Academy","Freestanding","Non Profit"
"149062.0","Urbana Community School","Freestanding","Non Profit"
"149088.0","Fairborn Digital Academy","Freestanding","Non Profit"
"149302.0","Life Skills Center of Toledo","White Hat Management, Inc.","For Profit"
"149328.0","Foxfire High School","Freestanding","Non Profit"
"149336.0","Southwest Licking Digital Acad","Freestanding","Non Profit"
"149427.0","Massillon Digital Academy, Inc","Freestanding","Non Profit"
"151027.0","London Academy","Freestanding","Non Profit"
"151035.0","Pleasant Community Digital","Freestanding","Non Profit"
"151076.0","Cardington Lincoln Local Digital Academy","Freestanding","Non Profit"
"151142.0","Lorain High School Digital","Freestanding","Non Profit"
"151167.0","Ridgedale Community School","Freestanding","Non Profit"
"151175.0","West Central Learning Academy II","Freestanding","Non Profit"
"151183.0","Lake Erie International High School","Freestanding","Non Profit"
"151191.0","Life Skills Center of Summit County","White Hat Management, Inc.","For Profit"
"151209.0","Life Skills Center of Northeast Ohio","White Hat Management, Inc.","For Profit"
"151233.0","Lakewood Digital Academy","Freestanding","Non Profit"
