"School IRN","Name","Address","City","State","Postal Code","Virtual","Open Status","County","Sponsor","Operator","Organization Status","Years in operation","Grades Served","Specialization","Avg Teacher Exp","% of teachers with masters degrees","Teacher attendance %","# of students","# of FT teachers","Student-teacher ratio","% of kids in poverty","% of kids with special needs","% gifted","% white","% non-white","% enrolled less than 3 years","Letter grade standards met","Letter grade performance index","Performance index score","Letter grade overall value-add","Letter grade gifted value-add","Letter grade disabled value-add","Letter grade lowest 20% value-add","Letter grade of AMO","Attendance rate","Graduation rate","State Funding per Student","% Spent in Classroom","% Spent on Administration","Third Grade Reading Student Count","Third Grade Reading Student Count At or Above 392","Third Grade Reading Percentage","Read 3rd Grade % at or above Proficient","Letter grade of four year graduation rate"
"012011","Columbus Performance Academy","2 Easton Oval Ste 525","Columbus","OH","43219-7008","Site Based","Open","Franklin","Buckeye Community Hope Foundation","Freestanding","Non Profit","3","K-8","General","0","33.7","97.5","197","18","10.9","71.1","29.9","NA","10.2","89.8","90.1","F","D","74.856","D","NA","C","D","F","93.0","NA","7166.15","100.0","0.0","26.0","23","88.5","70.4","NA"
"132803","Marshall High School","NA","NA","NA","NA","Site Based","Open","NA","St Aloysius Orphanage                                       ","White Hat Management, Inc.","For Profit","12","9-12","Dropout Recovery 2","11","NA","93.6","187","6","31.2","76.9","34.2","NA","70.9","29.1","100.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","16.5","8090.03","95.3","4.7","NA","NA","NA","NA","NA"
"000417","Buckeye On-Line School for Success","119 E Fifth St","East Liverpool","OH","43920-3030","ESchool                                                                ","Open","Columbiana","ESC of Lake Erie West","Buckeye Online School for Success","Non Profit","9","K-12","General","9","37.7","98.7","1119","69","16.2","59.9","19.3","NA","88.3","11.7","68.8","F","C","85.160","F","NA","D","C","F","85.0","NA","6334.51","89.4","10.6","31.0","28","90.3","67.6","F"
"143503","Lake Erie Academy","2740 W Central Ave","Toledo","OH","43606-3452","Site Based","Open","Lucas","Ohio Council of Community Schools","The Leona Group, LLC","For Profit","11","K-12","General","5","20.0","99.7","215","20","10.8",">95.0","19.1","NA","6.5","93.5","76.8","F","D","66.512","F","NA","NA","F","F","91.4","NA","7943.51","83.6","16.4","19.0","16","84.2","33.3","NA"
"133256","Constellation Schools: Parma Community","7667 Day Dr Fl 1ST","Parma","OH","44129-5603","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Constellation Schools, LLC","For Profit","13","K-12","General","0","24.7","97.8","1009","75","13.5","46.4","11.1","NA","79.6","20.4","61.6","D","B","98.862","B","NA","C","D","C","95.4","NA","6445.20","90.2","9.8","77.0","77","100.0","96.4","C"
"000305","Summit Academy Community School-Warren","2106 Arbor Ave SE","Warren","OH","44484-5225","Site Based","Open","Trumbull","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","K,1-10,UNG","Special Education","5","24.0","100","102","25","4.1",">95.0","90.2","NA","68.6","31.4","77.0","F","D","65.955","C","NA","A","A","F","92.0","NA","16351.51","97.0","3.0","13.0","8","61.5","27.8","NA"
"000306","Summit Academy Community School - Cincinnati","1660 Sternblock Ln","Cincinnati","OH","45237-3805","Site Based","Open","Hamilton","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","K,1-8,UNG","Special Education","2","30.6","98.9","127","36","3.5","68.5","75.6","NA","44.9","55.1","83.6","F","D","61.720","C","NA","A","A","F","90.5","NA","13522.64","97.0","3.0","NA","36","46.2","36.4","NA"
"000301","Summit Academy Secondary - Lorain","1051 E St","Lorain","OH","44052-2134","Site Based","Open","Lorain","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","8-12,UNG","Special Education","4","35.1","100","81","19","4.3",">95.0","82.7","NA","48.1","51.9","100.0","F","D","75.524","NA","NA","NA","NA","NA","82.6","NA","12870.04","96.9","3.1","NA","NA","NA","NA","F"
"000300","Summit Academy Secondary - Canton","2400 Cleveland Ave NW","Canton","OH","44709-3613","Site Based","Open","Stark","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","8-12,UNG","Special Education","2","19.0","0.0","80","21","3.8","80.0","86.3","NA","80.0","20.0","100.0","F","D","70.353","NA","NA","NA","NA","NA","93.5","NA","15596.69","96.8","3.2","NA","NA","NA","NA","F"
"000303","Summit Academy Secondary - Youngstown","1400 Oak Hill Ave","Youngstown","OH","44507-1018","Site Based","Open","Mahoning","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","8-12,UNG","Special Education","5","33.3","100","213","27","7.9","94.8","88.3","NA","42.3","57.7","100.0","F","F","57.360","F","NA","F","D","F","88.5","NA","17891.84","96.9","3.1","NA","NA","NA","NA","F"
"000302","Summit Academy Community School-Parma","5868 Stumph Rd","Parma","OH","44130-1736","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Summit Academy Management","Non Profit","9","K,1-12,UNG","Special Education","5","27.0","100","192","37","5.2","71.4","89.6","NA","71.4","28.6","57.8","F","D","67.865","C","NA","C","C","F","90.7","NA","16426.21","96.8","3.2","NA","131","69.2","66.7","F"
"000781","Cincinnati Speech & Reading Intervention Center","1812 Central Pkwy","Cincinnati","OH","45214-2304","Site Based","Open","Hamilton","Richland Academy","Freestanding","Non Profit","8","K-8","General","0","0.0","99.8","258","17","15.2","94.6","12.8","NA","NA","NA","82.6","F","D","62.500","F","NA","NA","F","F","93.8","NA","6943.74","85.1","14.9","37.0","21","56.8","54.1","NA"
"000780","Midnimo Cross Cultural Community School","1500 W 3rd Ave Ste 125","Columbus","OH","43212-2883","Site Based","Open","Franklin","St Aloysius Orphanage","Freestanding","Non Profit","7","K-12","General","2","44.4","76.5","73","6","12.2",">95.0","NA","NA","NA","NA","100.0","F","D","79.375","A","NA","NA","A","F","94.1","NA","6681.95","81.6","18.4","NA","NA","NA","NA","NA"
"000236","Ohio Connections Academy, Inc","3740 Euclid Ave Ste 101","Cleveland","OH","44115-2229","ESchool                                                                ","Open","Cuyahoga","Ohio Council of Community Schools","Connections Education LLC","For Profit","10","K-12","General","9","56.6","94.9","3272","109","30.0","46.0","9.8","NA","78.2","21.8","85.5","D","C","94.623","F","NA","F","D","F","97.0","NA","6142.16","82.7","17.3","143.0","131","91.6","80.5","F"
"011972","Graham Expeditionary Middle School","3950 Indianola Ave","Columbus","OH","43214-3167","Site Based","Open","Franklin","ESC of Central Ohio","Freestanding","Non Profit","3","5-8","General","2","46.2","100","181","13","13.9","69.1","20.4","NA","35.4","64.6","100.0","F","C","87.725","A","NA","A","A","F","92.4","NA","6659.39","95.2","4.8","NA","NA","NA","NA","NA"
"011976","Horizon Science Academy Dayton Downtown","121 S Monmouth St","Dayton","OH","45403-2127","Site Based","Open","Montgomery","Buckeye Community Hope Foundation","Concept Schools","Non Profit","3","K-8","General","2","40.0","97.4","220","15","14.7",">95.0","11.8","NA","65.9","34.1","80.1","F","D","71.246","C","NA","D","F","F","92.7","NA","7229.81","90.8","9.2","25.0","21","84.0","51.9","NA"
"142901","Life Skills Center  of Canton","1100 Cleveland Ave NW","Canton","OH","44702-1816","Site Based","Open","Stark","Ohio Council of Community Schools","White Hat Management, Inc.","For Profit","12","9-12","General","7","35.9","95.7","127","12","10.6","92.9","26.8","NA","53.5","46.5","100.0","F","C","88.000","NA","NA","NA","NA","F","52.1","NA","7972.13","82.8","17.2","NA","NA","NA","NA","F"
"008278","Noble Academy-Cleveland","1200 E 200th St","Euclid","OH","44117-1111","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","Concept Schools","Non Profit","7","K-12","General","4","8.7","97.9","337","23","14.7","78.6","5.0","NA","6.5","93.5","74.7","D","C","92.516","C","NA","NA","D","F","96.2","NA","6686.28","89.1","10.9","39.0","39","100.0","85.4","NA"
"012951","Columbus Collegiate Academy - West","300 Dana Ave","Columbus","OH","43223-1310","Site Based","Open","Franklin","Thomas B. Fordham Foundation","Freestanding","Non Profit","1","6-8","General","0","10.0","100","139","10","13.9",">95.0","9.4","NA","40.3","59.7","100.0","D","C","92.143","A","NA","NA","C","F","93.2","NA","6747.95","75.8","24.2","NA","NA","NA","NA","NA"
"012009","Zenith Academy East","2261 S Hamilton Rd","Columbus","OH","43232-4301","Site Based","Open","Franklin","St Aloysius Orphanage","Freestanding","Non Profit","3","K-12","General","1","26.7","97.9","257","15","17.1",">95.0","NA","NA","NA","NA","80.9","F","C","87.415","A","NA","NA","C","F","100.0","NA","7387.66","95.8","4.2","23.0","12","56.5","NA","NA"
"134148","Aurora Academy","541 Utah St","Toledo","OH","43605-2299","Site Based","Open","Lucas","Buckeye Community Hope Foundation","Freestanding","Non Profit","-85","K-8","General","0","25.0","100","155","16","9.7","93.5","9.7","NA","60.6","39.4","100.0","F","C","87.849","A","NA","NA","C","D","93.5","NA","7432.59","82.0","18.0","NA","17","64.3","71.4","NA"
"134098","Constellation Schools: Old Brooklyn Community Elementary","4430 State Rd","Cleveland","OH","44109-4705","Site Based","Open","Cuyahoga","ESC of Lake Erie West","Constellation Schools, LLC","For Profit","-85","K-4","General","0","39.8","93.8","312","18","17.3","48.4","5.8","NA","68.6","31.4","76.2","A","B","104.504","F","NA","NA","D","A","95.8","NA","6917.38","90.1","9.9","52.0","51","98.1","89.3","NA"
"013198","Brookwood Academy","2685 E Livingston Ave","Columbus","OH","43209-2961","Site Based","Open","Franklin","Reynoldsburg City","Freestanding","Non Profit","1","3-12","Special Education","0","34.8","98.5","146","23","6.3","79.5",">95.0","NA","48.6","51.4","100.0","F","F","55.642","D","NA","D","C","F","85.4","NA","20084.65","92.3","7.7","NA","14","NA","NA","C"
"013199","Nexus Academy of Cleveland","3615 Superior Ave E Bldg 44","Cleveland","OH","44114-4138","Site Based","Open","Cuyahoga","Ohio Council of Community Schools","Freestanding","Non Profit","1","K-12","General","39","64.7","96.5","174","5","34.8","77.6","11.5","NA","14.9","85.1","100.0","F","D","78.549","NA","NA","NA","NA","F","82.0","NA","6886.70","83.2","16.8","NA","NA","NA","NA","NA"
"013195","Academy of Educational Excellence","4747 Heatherdowns Blvd.","Toledo","OH","43614","Site Based","Open","Seneca","North Central Ohio ESC","Freestanding","Non Profit","1","K-5","General","6","8.3","0.0","77","6","12.8","84.4","NA","NA","NA","NA","100.0","NA","D","78.333","C","NA","NA","NA","NA","93.6","NA","6829.12","82.0","18.0","NA","12","NA","NA","NA"
"133322","Summit Academy Community School Alternative Learners-Lorain","2140 E 36th St","Lorain","OH","44055-2756","Site Based","Open","Lorain","ESC of Lake Erie West","Summit Academy Management","Non Profit","12","K,1-10,UNG","Special Education","4","28.6","100","139","21","6.6",">95.0","89.9","NA","51.1","48.9","83.6","F","D","64.698","B","NA","B","B","F","91.8","NA","17526.55","97.2","2.8","17.0","15","88.2","44.8","NA"
"000938","Premier Academy of Ohio","1555 Elaine Rd","Columbus","OH","43227-2347","Site Based","Open","Franklin","Educational Resource Consultants of Ohio","Freestanding","Non Profit","7","6-12","General","4","33.3","96.4","96","9","10.7","86.5","31.3","NA","11.5","88.5","85.3","F","D","60.000","C","NA","NA","C","NA","84.9","NA","7085.82","80.1","19.9","NA","NA","NA","NA","F"
"000420","Columbus Bilingual Academy","35 Midland Ave","Columbus","OH","43223-1064","Site Based","Open","Franklin","Richland Academy","Freestanding","Non Profit","9","K-8","General","0","0.0","100","121","7","17.3","94.2","9.1","NA","NA","NA","81.0","F","D","79.604","C","NA","NA","B","F","93.6","NA","7406.98","85.0","15.0","19.0","17","89.5","55.0","NA"
"000930","Cleveland Entrepreneurship Preparatory School","1417 E 36th St Fl 2","Cleveland","OH","44114-4116","Site Based","Open","Cuyahoga","Cleveland Municipal","Breakthrough Charter Schools","Non Profit","7","5-8","General","4","35.9","96.5","293","24","12.2",">95.0","14.3","NA","NA","NA","100.0","F","C","88.902","A","NA","A","A","F","93.6","NA","7007.81","79.2","20.8","NA","NA","NA","NA","NA"
"143537","Virtual Community School Of Ohio","340 Waggoner Rd","Reynoldsburg","OH","43068-9707","ESchool                                                                ","Open","Franklin","Reynoldsburg City","eSchool Consultants","For Profit","11","K-12","General","16","51.4","98.9","1033","49","21.1","74.7","21.8","NA","77.3","22.7","85.4","F","D","82.137","F","NA","C","F","F","72.9","NA","6944.18","87.6","12.4","17.0","16","94.1","83.3","F"
"132787","Springfield Academy of Excellence","623 S Center St","Springfield","OH","45506-2209","Site Based","Open","Clark","Thomas B. Fordham Foundation","Freestanding","Non Profit","12","K-6","General","2","17.9","100","257","28","9.2",">95.0","11.3","NA","15.2","84.8","71.1","F","D","73.375","B","NA","C","C","F","93.2","NA","7344.99","90.3","9.7","30.0","20","66.7","53.3","NA"
"000338","Horizon Science Academy Toledo","2600 W Sylvania Ave","Toledo","OH","43613-4300","Site Based","Open","Lucas","ESC of Lake Erie West","Concept Schools","Non Profit","9","K-12","General","3","23.9","97.7","500","46","10.9",">95.0","12.4","NA","17.6","82.4","96.2","F","C","85.553","F","NA","C","D","F","93.1","NA","7289.50","89.8","10.2","32.0","32","100.0","87.5","F"
"133819","Lincoln Preparatory School","4215 Robert Ave","Cleveland","OH","44109-1255","Site Based","Open","Cuyahoga","Buckeye Community Hope Foundation","White Hat Management, Inc.","For Profit","14","K-8","General","10","40.0","97.6","182","10","18.2",">95.0","17.0","NA","17.6","82.4","100.0","F","C","86.077","B","NA","NA","C","F","92.6","NA","7742.58","96.4","3.6","20.0","18","90.0","77.3","NA"
"151167","Ridgedale Community School","3103 Hillman Ford Rd","Morral","OH","43337-9302","Site Based","Open","Marion","Ridgedale Local","Freestanding","Non Profit","10","K,1-12,UNG","General","150","69.5","96","30","2","15.0","60.0","NA","NA",">95.0","<5.0","100.0","NA","NA","NA","NA","NA","NA","NA","NA","89.2","NA","7279.26","86.3","13.7","NA","NA","NA","NA","NA"
"011967","Richland Academy School of Excellence","75 N Walnut St","Mansfield","OH","44902-1211","Site Based","Open","Seneca","North Central Ohio ESC","Freestanding","Non Profit","3","K-8","General","0","14.3","99.7","191","21","9.1","79.6","11.5","NA","59.7","40.3","100.0","F","C","89.253","C","NA","NA","C","F","95.5","NA","6824.23","82.3","17.7","12.0","12","100.0","70.6","NA"
"010180","Mount Auburn International Academy","244 Southern Ave","Cincinnati","OH","45219-3023","Site Based","Open","Hamilton","Ohio Council of Community Schools","SABIS Educational Systems, Inc.","For Profit","5","K-12","General","1","27.0","100","401","37","10.8",">95.0","11.2","NA","NA","NA","100.0","F","D","77.944","D","NA","C","D","F","96.6","NA","6884.24","93.6","6.4","35.0","30","85.7","66.7","NA"
"011291","Village Preparatory School","1415 E 36th St Fl 2","Cleveland","OH","44114-4116","Site Based","Open","Cuyahoga","Cleveland Municipal","Freestanding","Non Profit","4","K-4","General","3","32.2","96.6","432","36","12.0",">95.0","9.5","NA","2.8","97.2","100.0","F","C","92.156","F","NA","D","F","F","93.1","NA","7583.56","82.7","17.3","86.0","70","81.4","79.8","NA"
